d_idle,p_idle,idle,total_d,total_p,total,ep
19.0,834.0,853.0,1974.0,1489.0,3463.0,1
13.0,1037.0,1050.0,1968.0,1692.0,3660.0,2
28.0,1189.0,1217.0,1983.0,1844.0,3827.0,3
83.0,992.0,1075.0,2038.0,1647.0,3685.0,4
29.0,1104.0,1133.0,1984.0,1759.0,3743.0,5
22.0,818.0,840.0,1977.0,1473.0,3450.0,6
18.0,1142.0,1160.0,1973.0,1797.0,3770.0,7
32.0,869.0,901.0,1987.0,1524.0,3511.0,8
11.0,1062.0,1073.0,1966.0,1717.0,3683.0,9
27.0,847.0,874.0,1982.0,1502.0,3484.0,10
20.0,977.0,997.0,1975.0,1632.0,3607.0,11
16.0,1136.0,1152.0,1971.0,1791.0,3762.0,12
38.0,903.0,941.0,1993.0,1558.0,3551.0,13
24.0,1123.0,1147.0,1979.0,1778.0,3757.0,14
40.0,975.0,1015.0,1995.0,1630.0,3625.0,15
20.0,1244.0,1264.0,1975.0,1899.0,3874.0,16
23.0,945.0,968.0,1978.0,1600.0,3578.0,17
12.0,1245.0,1257.0,1967.0,1900.0,3867.0,18
63.0,692.0,755.0,2018.0,1347.0,3365.0,19
29.0,988.0,1017.0,1984.0,1643.0,3627.0,20
49.0,1052.0,1101.0,2004.0,1707.0,3711.0,21
32.0,795.0,827.0,1987.0,1450.0,3437.0,22
18.0,1121.0,1139.0,1973.0,1776.0,3749.0,23
43.0,949.0,992.0,1998.0,1604.0,3602.0,24
6.0,1223.0,1229.0,1961.0,1878.0,3839.0,25
49.0,1031.0,1080.0,2004.0,1686.0,3690.0,26
48.0,1171.0,1219.0,2003.0,1826.0,3829.0,27
36.0,906.0,942.0,1991.0,1561.0,3552.0,28
12.0,1085.0,1097.0,1967.0,1740.0,3707.0,29
26.0,891.0,917.0,1981.0,1546.0,3527.0,30
29.0,1162.0,1191.0,1984.0,1817.0,3801.0,31
39.0,1045.0,1084.0,1994.0,1700.0,3694.0,32
24.0,1082.0,1106.0,1979.0,1737.0,3716.0,33
11.0,1028.0,1039.0,1966.0,1683.0,3649.0,34
5.0,1047.0,1052.0,1960.0,1702.0,3662.0,35
8.0,1097.0,1105.0,1963.0,1752.0,3715.0,36
23.0,1322.0,1345.0,1978.0,1977.0,3955.0,37
90.0,967.0,1057.0,2045.0,1622.0,3667.0,38
7.0,967.0,974.0,1962.0,1622.0,3584.0,39
40.0,1288.0,1328.0,1995.0,1943.0,3938.0,40
17.0,1155.0,1172.0,1972.0,1810.0,3782.0,41
36.0,668.0,704.0,1991.0,1323.0,3314.0,42
35.0,829.0,864.0,1990.0,1484.0,3474.0,43
26.0,1117.0,1143.0,1981.0,1772.0,3753.0,44
53.0,963.0,1016.0,2008.0,1618.0,3626.0,45
14.0,1042.0,1056.0,1969.0,1697.0,3666.0,46
37.0,838.0,875.0,1992.0,1493.0,3485.0,47
3.0,1477.0,1480.0,1958.0,2132.0,4090.0,48
36.0,996.0,1032.0,1991.0,1651.0,3642.0,49
30.0,921.0,951.0,1985.0,1576.0,3561.0,50
60.0,986.0,1046.0,2015.0,1641.0,3656.0,51
70.0,834.0,904.0,2025.0,1489.0,3514.0,52
20.0,1447.0,1467.0,1975.0,2102.0,4077.0,53
52.0,1085.0,1137.0,2007.0,1740.0,3747.0,54
53.0,941.0,994.0,2008.0,1596.0,3604.0,55
32.0,1032.0,1064.0,1987.0,1687.0,3674.0,56
25.0,1327.0,1352.0,1980.0,1982.0,3962.0,57
64.0,706.0,770.0,2019.0,1361.0,3380.0,58
10.0,1488.0,1498.0,1965.0,2143.0,4108.0,59
29.0,1071.0,1100.0,1984.0,1726.0,3710.0,60
22.0,1122.0,1144.0,1977.0,1777.0,3754.0,61
30.0,1108.0,1138.0,1985.0,1763.0,3748.0,62
29.0,910.0,939.0,1984.0,1565.0,3549.0,63
14.0,1238.0,1252.0,1969.0,1893.0,3862.0,64
54.0,1046.0,1100.0,2009.0,1701.0,3710.0,65
39.0,1175.0,1214.0,1994.0,1830.0,3824.0,66
39.0,1094.0,1133.0,1994.0,1749.0,3743.0,67
9.0,1133.0,1142.0,1964.0,1788.0,3752.0,68
17.0,1224.0,1241.0,1972.0,1879.0,3851.0,69
47.0,851.0,898.0,2002.0,1506.0,3508.0,70
17.0,1120.0,1137.0,1972.0,1775.0,3747.0,71
37.0,805.0,842.0,1992.0,1460.0,3452.0,72
21.0,936.0,957.0,1976.0,1591.0,3567.0,73
29.0,911.0,940.0,1984.0,1566.0,3550.0,74
48.0,1083.0,1131.0,2003.0,1738.0,3741.0,75
44.0,867.0,911.0,1999.0,1522.0,3521.0,76
62.0,701.0,763.0,2017.0,1356.0,3373.0,77
39.0,983.0,1022.0,1994.0,1638.0,3632.0,78
32.0,1002.0,1034.0,1987.0,1657.0,3644.0,79
