d_idle,p_idle,idle,total_d,total_p,total,ep
45.0,252.0,297,1226.0,661.0,1887.0,1
38.0,266.0,304,1219.0,675.0,1894.0,1
37.0,403.0,440,1218.0,812.0,2030.0,1
31.0,353.0,384,1212.0,762.0,1974.0,2
30.0,363.0,393,1211.0,772.0,1983.0,2
53.0,255.0,308,1234.0,664.0,1898.0,2
45.0,442.0,487,1226.0,851.0,2077.0,3
31.0,395.0,426,1212.0,804.0,2016.0,3
21.0,296.0,317,1202.0,705.0,1907.0,3
8.0,402.0,410,1189.0,811.0,2000.0,4
11.0,352.0,363,1192.0,761.0,1953.0,4
9.0,272.0,281,1190.0,681.0,1871.0,4
47.0,360.0,407,1228.0,769.0,1997.0,5
21.0,329.0,350,1202.0,738.0,1940.0,5
32.0,289.0,321,1213.0,698.0,1911.0,5
46.0,266.0,312,1227.0,675.0,1902.0,6
32.0,263.0,295,1213.0,672.0,1885.0,6
26.0,456.0,482,1207.0,865.0,2072.0,6
25.0,446.0,471,1206.0,855.0,2061.0,7
40.0,341.0,381,1221.0,750.0,1971.0,7
30.0,210.0,240,1211.0,619.0,1830.0,7
47.0,277.0,324,1228.0,686.0,1914.0,8
15.0,304.0,319,1196.0,713.0,1909.0,8
17.0,358.0,375,1198.0,767.0,1965.0,8
67.0,258.0,325,1248.0,667.0,1915.0,9
26.0,235.0,261,1207.0,644.0,1851.0,9
63.0,291.0,354,1244.0,700.0,1944.0,9
52.0,303.0,355,1233.0,712.0,1945.0,10
29.0,355.0,384,1210.0,764.0,1974.0,10
27.0,322.0,349,1208.0,731.0,1939.0,10
15.0,282.0,297,1196.0,691.0,1887.0,11
53.0,216.0,269,1234.0,625.0,1859.0,11
14.0,349.0,363,1195.0,758.0,1953.0,11
30.0,457.0,487,1211.0,866.0,2077.0,12
49.0,221.0,270,1230.0,630.0,1860.0,12
35.0,412.0,447,1216.0,821.0,2037.0,12
33.0,217.0,250,1214.0,626.0,1840.0,13
35.0,287.0,322,1216.0,696.0,1912.0,13
32.0,341.0,373,1213.0,750.0,1963.0,13
36.0,216.0,252,1217.0,625.0,1842.0,14
34.0,366.0,400,1215.0,775.0,1990.0,14
11.0,456.0,467,1192.0,865.0,2057.0,14
16.0,473.0,489,1197.0,882.0,2079.0,15
38.0,357.0,395,1219.0,766.0,1985.0,15
10.0,454.0,464,1191.0,863.0,2054.0,15
26.0,369.0,395,1207.0,778.0,1985.0,16
53.0,205.0,258,1234.0,614.0,1848.0,16
21.0,400.0,421,1202.0,809.0,2011.0,16
54.0,368.0,422,1235.0,777.0,2012.0,17
45.0,369.0,414,1226.0,778.0,2004.0,17
49.0,426.0,475,1230.0,835.0,2065.0,17
85.0,310.0,395,1266.0,719.0,1985.0,18
34.0,317.0,351,1215.0,726.0,1941.0,18
33.0,234.0,267,1214.0,643.0,1857.0,18
63.0,274.0,337,1244.0,683.0,1927.0,19
26.0,245.0,271,1207.0,654.0,1861.0,19
79.0,366.0,445,1260.0,775.0,2035.0,19
49.0,334.0,383,1230.0,743.0,1973.0,20
17.0,358.0,375,1198.0,767.0,1965.0,20
42.0,280.0,322,1223.0,689.0,1912.0,20
63.0,328.0,391,1244.0,737.0,1981.0,21
45.0,266.0,311,1226.0,675.0,1901.0,21
63.0,271.0,334,1244.0,680.0,1924.0,21
53.0,290.0,343,1234.0,699.0,1933.0,22
37.0,230.0,267,1218.0,639.0,1857.0,22
17.0,288.0,305,1198.0,697.0,1895.0,22
32.0,239.0,271,1213.0,648.0,1861.0,23
24.0,223.0,247,1205.0,632.0,1837.0,23
37.0,236.0,273,1218.0,645.0,1863.0,23
45.0,258.0,303,1226.0,667.0,1893.0,24
38.0,319.0,357,1219.0,728.0,1947.0,24
34.0,467.0,501,1215.0,876.0,2091.0,24
18.0,329.0,347,1199.0,738.0,1937.0,25
42.0,384.0,426,1223.0,793.0,2016.0,25
54.0,269.0,323,1235.0,678.0,1913.0,25
18.0,415.0,433,1199.0,824.0,2023.0,26
45.0,457.0,502,1226.0,866.0,2092.0,26
33.0,269.0,302,1214.0,678.0,1892.0,26
83.0,270.0,353,1264.0,679.0,1943.0,27
37.0,378.0,415,1218.0,787.0,2005.0,27
26.0,439.0,465,1207.0,848.0,2055.0,27
9.0,226.0,235,1190.0,635.0,1825.0,28
7.0,297.0,304,1188.0,706.0,1894.0,28
47.0,343.0,390,1228.0,752.0,1980.0,28
55.0,327.0,382,1236.0,736.0,1972.0,29
20.0,386.0,406,1201.0,795.0,1996.0,29
58.0,207.0,265,1239.0,616.0,1855.0,29
16.0,354.0,370,1197.0,763.0,1960.0,30
52.0,315.0,367,1233.0,724.0,1957.0,30
19.0,365.0,384,1200.0,774.0,1974.0,30
26.0,355.0,381,1207.0,764.0,1971.0,31
14.0,446.0,460,1195.0,855.0,2050.0,31
63.0,251.0,314,1244.0,660.0,1904.0,31
36.0,248.0,284,1217.0,657.0,1874.0,32
31.0,243.0,274,1212.0,652.0,1864.0,32
63.0,189.0,252,1244.0,598.0,1842.0,32
28.0,428.0,456,1209.0,837.0,2046.0,33
50.0,250.0,300,1231.0,659.0,1890.0,33
19.0,477.0,496,1200.0,886.0,2086.0,33
21.0,332.0,353,1202.0,741.0,1943.0,34
