did,pid,start_time,pro_time,finish_time,step,job_id
48,0.0,18,18.0,3,42
42,18.0,18,36.0,10,65
4,36.0,14,50.0,19,50
38,50.0,16,66.0,37,56
22,66.0,13,79.0,49,24
26,79.0,16,95.0,52,33
44,95.0,18,113.0,60,71
16,113.0,13,126.0,64,44
59,0.0,12,12.0,4,18
37,12.0,15,27.0,6,2
19,30.0,11,41.0,30,26
13,41.0,10,51.0,55,75
50,51.0,20,71.0,58,16
0,85.0,13,98.0,63,61
54,104.0,19,123.0,70,54
47,71.0,12,83.0,73,55
10,0.0,11,11.0,5,77
43,11.0,19,30.0,18,37
57,30.0,14,44.0,20,10
42,50.0,16,66.0,41,53
36,66.0,12,78.0,42,43
41,78.0,12,90.0,43,51
29,90.0,10,100.0,68,11
27,100.0,10,110.0,77,21
34,0.0,20,20.0,12,69
19,20.0,10,30.0,24,39
4,50.0,15,65.0,27,14
51,30.0,18,48.0,32,76
12,65.0,11,76.0,46,9
53,76.0,18,94.0,59,35
20,94.0,18,112.0,67,72
23,112.0,19,131.0,71,17
25,0.0,10,10.0,9,74
5,10.0,10,20.0,22,28
14,20.0,20,40.0,26,25
35,40.0,13,53.0,28,4
39,53.0,20,73.0,38,45
54,73.0,15,88.0,40,66
24,88.0,20,108.0,57,19
32,108.0,15,123.0,74,73
31,0.0,12,12.0,11,31
58,12.0,11,23.0,29,5
42,36.0,14,50.0,33,57
13,25.0,10,35.0,35,13
17,50.0,19,69.0,48,68
0,69.0,16,85.0,51,70
54,88.0,16,104.0,62,7
30,104.0,16,120.0,75,62
55,0.0,15,15.0,2,29
13,15.0,10,25.0,16,63
40,25.0,16,41.0,25,58
19,41.0,15,56.0,45,34
48,56.0,20,76.0,50,40
8,76.0,18,94.0,54,3
56,94.0,18,112.0,56,49
33,112.0,20,132.0,61,27
49,0.0,12,12.0,0,20
11,12.0,11,23.0,17,36
17,23.0,15,38.0,21,8
56,51.0,14,65.0,31,48
1,38.0,11,49.0,36,22
6,65.0,18,83.0,53,46
2,83.0,19,102.0,65,52
0,102.0,16,118.0,69,64
46,0.0,17,17.0,8,32
9,17.0,14,31.0,34,6
4,65.0,13,78.0,39,1
45,31.0,20,51.0,44,0
48,78.0,14,92.0,72,60
3,51.0,10,61.0,76,23
7,0.0,14,14.0,1,41
18,14.0,17,31.0,7,12
56,31.0,20,51.0,13,15
28,51.0,18,69.0,14,47
17,69.0,20,89.0,15,59
21,89.0,15,104.0,23,38
52,104.0,17,121.0,47,67
15,121.0,16,137.0,66,30
