did,pid,start_time,pro_time,finish_time,step,job_id
22,0.0,13,13.0,11,42
44,13.0,18,31.0,34,23
38,31.0,16,47.0,39,13
16,47.0,13,60.0,43,10
4,60.0,14,74.0,46,46
48,74.0,18,92.0,50,36
42,92.0,18,110.0,65,1
26,110.0,16,126.0,66,61
47,0.0,12,12.0,0,59
50,12.0,20,32.0,5,54
54,32.0,19,51.0,6,32
0,51.0,13,64.0,13,58
37,64.0,15,79.0,27,66
19,79.0,11,90.0,31,28
59,90.0,12,102.0,54,16
13,102.0,10,112.0,69,26
29,0.0,10,10.0,9,60
57,10.0,14,24.0,26,8
10,24.0,11,35.0,28,75
43,35.0,19,54.0,33,62
27,54.0,10,64.0,41,34
36,64.0,12,76.0,49,0
42,76.0,16,92.0,55,29
41,92.0,12,104.0,67,2
34,0.0,20,20.0,3,63
20,20.0,18,38.0,16,51
51,38.0,18,56.0,35,77
12,56.0,11,67.0,40,21
23,67.0,19,86.0,45,6
53,86.0,18,104.0,58,30
4,104.0,15,119.0,60,72
19,119.0,10,129.0,64,9
5,0.0,10,10.0,1,73
39,10.0,20,30.0,12,74
32,30.0,15,45.0,17,39
25,45.0,10,55.0,18,71
24,55.0,20,75.0,32,76
14,75.0,20,95.0,52,27
35,95.0,13,108.0,57,67
54,108.0,15,123.0,59,69
42,0.0,14,14.0,14,45
54,14.0,16,30.0,19,7
31,30.0,12,42.0,24,17
30,42.0,16,58.0,25,52
58,58.0,11,69.0,53,49
17,69.0,19,88.0,71,12
13,88.0,10,98.0,76,48
0,98.0,16,114.0,77,64
40,0.0,16,16.0,4,11
13,16.0,10,26.0,20,14
55,26.0,15,41.0,29,56
48,41.0,20,61.0,30,38
19,61.0,15,76.0,36,50
8,76.0,18,94.0,37,68
56,94.0,18,112.0,44,70
33,112.0,20,132.0,74,55
17,0.0,15,15.0,15,24
56,15.0,14,29.0,22,43
2,29.0,19,48.0,38,44
49,48.0,12,60.0,51,57
1,60.0,11,71.0,62,35
0,71.0,16,87.0,63,5
11,87.0,11,98.0,72,40
6,98.0,18,116.0,73,47
48,0.0,14,14.0,7,31
4,14.0,13,27.0,10,33
45,27.0,20,47.0,42,53
46,47.0,17,64.0,47,22
9,64.0,14,78.0,61,41
3,78.0,10,88.0,68,3
21,0.0,15,15.0,2,37
52,15.0,17,32.0,8,65
17,32.0,20,52.0,21,19
56,52.0,20,72.0,23,4
15,72.0,16,88.0,48,25
18,88.0,17,105.0,56,15
7,105.0,14,119.0,70,20
28,119.0,18,137.0,75,18
