did,pid,start_time,pro_time,finish_time,step
0,48,0.0,18,18.0,10
0,22,18.0,13,31.0,13
0,42,31.0,18,49.0,14
0,26,49.0,16,65.0,17
0,44,65.0,18,83.0,21
0,4,83.0,14,97.0,33
0,16,97.0,13,110.0,46
0,38,110.0,16,126.0,52
1,50,0.0,20,20.0,25
1,47,20.0,12,32.0,31
1,13,48.0,10,58.0,40
1,37,32.0,15,47.0,58
1,59,58.0,12,70.0,60
1,0,82.0,13,95.0,73
1,54,113.0,19,132.0,74
1,19,98.0,11,109.0,75
2,29,0.0,10,10.0,19
2,41,10.0,12,22.0,24
2,43,22.0,19,41.0,27
2,36,41.0,12,53.0,43
2,27,53.0,10,63.0,44
2,42,63.0,16,79.0,49
2,10,79.0,11,90.0,55
2,57,90.0,14,104.0,57
3,34,0.0,20,20.0,1
3,23,20.0,19,39.0,20
3,4,39.0,15,54.0,34
3,51,54.0,18,72.0,35
3,19,72.0,10,82.0,50
3,53,82.0,18,100.0,54
3,20,100.0,18,118.0,62
3,12,118.0,11,129.0,67
4,14,0.0,20,20.0,9
4,39,20.0,20,40.0,29
4,5,40.0,10,50.0,30
4,32,50.0,15,65.0,37
4,35,65.0,13,78.0,38
4,24,78.0,20,98.0,42
4,54,98.0,15,113.0,45
4,25,113.0,10,123.0,59
5,17,0.0,19,19.0,0
5,58,19.0,11,30.0,26
5,0,30.0,16,46.0,36
5,42,49.0,14,63.0,53
5,54,63.0,16,79.0,56
5,13,79.0,10,89.0,63
5,30,89.0,16,105.0,64
5,31,105.0,12,117.0,65
6,56,0.0,18,18.0,3
6,33,18.0,20,38.0,5
6,13,38.0,10,48.0,8
6,55,48.0,15,63.0,18
6,48,63.0,20,83.0,22
6,19,83.0,15,98.0,23
6,8,98.0,18,116.0,41
6,40,116.0,16,132.0,77
7,6,0.0,18,18.0,11
7,2,18.0,19,37.0,12
7,56,52.0,14,66.0,28
7,0,66.0,16,82.0,48
7,11,37.0,11,48.0,51
7,17,82.0,15,97.0,61
7,1,97.0,11,108.0,66
7,49,108.0,12,120.0,71
8,45,0.0,20,20.0,2
8,46,20.0,17,37.0,16
8,48,37.0,14,51.0,47
8,3,51.0,10,61.0,68
8,9,61.0,14,75.0,69
8,4,97.0,13,110.0,70
9,21,0.0,15,15.0,4
9,52,15.0,17,32.0,6
9,56,32.0,20,52.0,7
9,17,52.0,20,72.0,15
9,28,72.0,18,90.0,32
9,18,90.0,17,107.0,39
9,7,107.0,14,121.0,72
9,15,121.0,16,137.0,76
