did,pid,start_time,pro_time,finish_time,step
0,42,0.0,18,18.0,1
0,48,18.0,18,36.0,3
0,44,36.0,18,54.0,26
0,4,54.0,14,68.0,33
0,16,68.0,13,81.0,38
0,26,81.0,16,97.0,54
0,38,97.0,16,113.0,58
0,22,113.0,13,126.0,75
1,59,0.0,12,12.0,24
1,37,12.0,15,27.0,28
1,13,27.0,10,37.0,35
1,47,37.0,12,49.0,41
1,19,49.0,11,60.0,51
1,54,78.0,19,97.0,52
1,0,60.0,13,73.0,62
1,50,97.0,20,117.0,66
2,36,0.0,12,12.0,5
2,42,18.0,16,34.0,16
2,43,34.0,19,53.0,19
2,29,53.0,10,63.0,25
2,57,63.0,14,77.0,39
2,41,77.0,12,89.0,40
2,10,89.0,11,100.0,47
2,27,100.0,10,110.0,64
3,23,0.0,19,19.0,6
3,53,19.0,18,37.0,11
3,4,37.0,15,52.0,12
3,20,52.0,18,70.0,18
3,19,70.0,10,80.0,21
3,51,80.0,18,98.0,30
3,34,98.0,20,118.0,37
3,12,118.0,11,129.0,55
4,35,0.0,13,13.0,2
4,25,13.0,10,23.0,4
4,14,23.0,20,43.0,15
4,39,43.0,20,63.0,22
4,54,63.0,15,78.0,45
4,5,78.0,10,88.0,46
4,32,88.0,15,103.0,72
4,24,103.0,20,123.0,77
5,58,0.0,11,11.0,17
5,42,34.0,14,48.0,32
5,13,48.0,10,58.0,43
5,31,11.0,12,23.0,44
5,17,58.0,19,77.0,53
5,54,97.0,16,113.0,63
5,30,77.0,16,93.0,65
5,0,113.0,16,129.0,71
6,48,50.0,20,70.0,10
6,55,0,15,15,14
6,56,32.0,18,50.0,27
6,13,15.0,10,25.0,31
6,33,70.0,20,90.0,48
6,19,90.0,15,105.0,49
6,8,105.0,18,123.0,57
6,40,123.0,16,139.0,76
7,6,0.0,18,18.0,9
7,56,18.0,14,32.0,13
7,1,32.0,11,43.0,20
7,0,43.0,16,59.0,34
7,2,59.0,19,78.0,59
7,49,78.0,12,90.0,67
7,17,107.0,15,122.0,73
7,11,90.0,11,101.0,74
8,9,0.0,14,14.0,7
8,48,36.0,14,50.0,8
8,4,14.0,13,27.0,23
8,3,50.0,10,60.0,50
8,46,60.0,17,77.0,61
8,45,77.0,20,97.0,70
9,15,0.0,16,16.0,0
9,28,16.0,18,34.0,29
9,7,34.0,14,48.0,36
9,56,50.0,20,70.0,42
9,52,70.0,17,87.0,56
9,17,87.0,20,107.0,60
9,18,107.0,17,124.0,68
9,21,124.0,15,139.0,69
