did,pid,start_time,pro_time,finish_time,step
0,4,0,14,14,8
0,48,14,18,32,14
0,22,32,13,45,15
0,44,45,18,63,53
0,16,63,13,76,61
0,38,76,16,92,68
0,26,92,16,108,69
0,42,108,18,126,70
1,37,0,15,15,1
1,54,15,19,34,13
1,0,34,13,47,19
1,19,47,11,58,32
1,50,58,20,78,37
1,47,78,12,90,62
1,13,102,10,112,63
1,59,112,12,124,74
2,10,0,11,11,2
2,43,11,19,30,6
2,27,30,10,40,11
2,36,40,12,52,21
2,42,52,16,68,25
2,41,68,12,80,33
2,29,80,10,90,55
2,57,90,14,104,60
3,20,0,18,18,0
3,19,18,10,28,7
3,34,28,20,48,27
3,23,48,19,67,28
3,53,67,18,85,31
3,4,85,15,100,38
3,51,100,18,118,47
3,12,118,11,129,71
4,39,0,20,20,23
4,35,20,13,33,35
4,32,33,15,48,39
4,24,48,20,68,48
4,25,68,10,78,49
4,54,78,15,93,58
4,14,93,20,113,67
4,5,113,10,123,72
5,58,0,11,11,3
5,54,34,16,50,20
5,0,50,16,66,24
5,31,66,12,78,34
5,42,78,14,92,45
5,13,92,10,102,51
5,17,102,19,121,57
5,30,121,16,137,76
6,19,28,15,43,9
6,48,43,20,63,29
6,56,63,18,81,42
6,13,81,10,91,50
6,33,91,20,111,64
6,8,111,18,129,65
6,55,129,15,144,73
6,40,144,16,160,77
7,56,0,14,14,5
7,49,14,12,26,12
7,1,26,11,37,22
7,17,37,15,52,36
7,6,52,18,70,41
7,11,70,11,81,52
7,2,81,19,100,56
7,0,100,16,116,59
8,45,0,20,20,16
8,4,20,13,33,17
8,3,33,10,43,18
8,46,43,17,60,26
8,48,63,14,77,30
8,9,77,14,91,43
9,21,0,15,15,4
9,17,15,20,35,10
9,18,35,17,52,40
9,52,52,17,69,44
9,7,69,14,83,46
9,56,83,20,103,54
9,28,103,18,121,66
9,15,121,16,137,75
