did,pid,start_time,pro_time,finish_time,step
0,22,0.0,13,13.0,9
0,4,46.0,14,60.0,28
0,26,13.0,16,29.0,45
0,42,60.0,18,78.0,49
0,48,78.0,18,96.0,59
0,16,29.0,13,42.0,60
0,44,96.0,18,114.0,73
0,38,114.0,16,130.0,76
1,19,0.0,11,11.0,6
1,50,11.0,20,31.0,14
1,13,31.0,10,41.0,24
1,0,42.0,13,55.0,56
1,47,55.0,12,67.0,57
1,37,67.0,15,82.0,64
1,54,100.0,19,119.0,67
1,59,82.0,12,94.0,70
2,29,0.0,10,10.0,12
2,27,10.0,10,20.0,31
2,36,20.0,12,32.0,44
2,10,32.0,11,43.0,46
2,41,43.0,12,55.0,52
2,57,55.0,14,69.0,53
2,42,78.0,16,94.0,71
2,43,94.0,19,113.0,74
3,53,0.0,18,18.0,8
3,4,18.0,15,33.0,10
3,19,33.0,10,43.0,30
3,34,43.0,20,63.0,50
3,51,63.0,18,81.0,58
3,20,81.0,18,99.0,62
3,23,99.0,19,118.0,66
3,12,118.0,11,129.0,68
4,32,0.0,15,15.0,2
4,24,15.0,20,35.0,5
4,14,35.0,20,55.0,11
4,54,55.0,15,70.0,22
4,39,70.0,20,90.0,34
4,25,90.0,10,100.0,35
4,5,100.0,10,110.0,43
4,35,110.0,13,123.0,51
5,58,0.0,11,11.0,1
5,13,11.0,10,21.0,4
5,17,21.0,19,40.0,13
5,31,40.0,12,52.0,17
5,30,52.0,16,68.0,36
5,0,68.0,16,84.0,37
5,54,84.0,16,100.0,54
5,42,100.0,14,114.0,65
6,55,0.0,15,15.0,7
6,19,15.0,15,30.0,19
6,13,41.0,10,51.0,41
6,40,51.0,16,67.0,42
6,33,67.0,20,87.0,63
6,8,87.0,18,105.0,69
6,48,105.0,20,125.0,72
6,56,125.0,18,143.0,75
7,17,0,15,15,15
7,1,15,11,26,18
7,0,26,16,42,20
7,49,42,12,54,21
7,2,54,19,73,33
7,11,73,11,84,38
7,56,107.0,14,121.0,47
7,6,84.0,18,102.0,48
8,45,0.0,20,20.0,0
8,4,33.0,13,46.0,27
8,46,46.0,17,63.0,29
8,48,63.0,14,77.0,32
8,9,77.0,14,91.0,55
8,3,20.0,10,30.0,61
9,21,0.0,15,15.0,3
9,28,15.0,18,33.0,16
9,18,33.0,17,50.0,23
9,17,50.0,20,70.0,25
9,52,70.0,17,87.0,26
9,56,87.0,20,107.0,39
9,15,107.0,16,123.0,40
9,7,123.0,14,137.0,77
