did,pid,start_time,pro_time,finish_time,step
0,26,0.0,16,16.0,7
0,44,16.0,18,34.0,17
0,48,34.0,18,52.0,19
0,22,52.0,13,65.0,44
0,4,66.0,14,80.0,47
0,16,80.0,13,93.0,67
0,42,93.0,18,111.0,70
0,38,111.0,16,127.0,76
1,47,0.0,12,12.0,2
1,50,12.0,20,32.0,13
1,59,32.0,12,44.0,32
1,13,45.0,10,55.0,40
1,0,75.0,13,88.0,45
1,37,55.0,15,70.0,60
1,54,103.0,19,122.0,64
1,19,88.0,11,99.0,66
2,43,0.0,19,19.0,14
2,41,19.0,12,31.0,23
2,42,59.0,16,75.0,36
2,57,31.0,14,45.0,42
2,36,45.0,12,57.0,46
2,27,75.0,10,85.0,65
2,10,85.0,11,96.0,71
2,29,96.0,10,106.0,75
3,34,0.0,20,20.0,4
3,53,20.0,18,38.0,15
3,4,38.0,15,53.0,22
3,23,53.0,19,72.0,33
3,12,72.0,11,83.0,50
3,20,83.0,18,101.0,53
3,19,101.0,10,111.0,72
3,51,111.0,18,129.0,74
4,35,0.0,13,13.0,20
4,14,13.0,20,33.0,21
4,32,33.0,15,48.0,26
4,24,48.0,20,68.0,27
4,39,68.0,20,88.0,29
4,54,88.0,15,103.0,51
4,5,103.0,10,113.0,62
4,25,113.0,10,123.0,73
5,17,0.0,19,19.0,0
5,54,19.0,16,35.0,1
5,13,35.0,10,45.0,3
5,42,45.0,14,59.0,5
5,0,59.0,16,75.0,30
5,30,75.0,16,91.0,31
5,58,91.0,11,102.0,48
5,31,102.0,12,114.0,59
6,48,0.0,20,20.0,6
6,40,20.0,16,36.0,12
6,33,36.0,20,56.0,34
6,13,56.0,10,66.0,38
6,19,66.0,15,81.0,43
6,55,81.0,15,96.0,52
6,8,96.0,18,114.0,54
6,56,114.0,18,132.0,56
7,49,0.0,12,12.0,8
7,11,12.0,11,23.0,11
7,1,23.0,11,34.0,25
7,2,34.0,19,53.0,28
7,56,53.0,14,67.0,39
7,17,67.0,15,82.0,63
7,0,88.0,16,104.0,68
7,6,104.0,18,122.0,77
8,48,20.0,14,34.0,9
8,45,0,20,20,16
8,4,53.0,13,66.0,24
8,46,34.0,17,51.0,35
8,9,66.0,14,80.0,61
8,3,80.0,10,90.0,69
9,7,0.0,14,14.0,10
9,18,14.0,17,31.0,18
9,17,31.0,20,51.0,37
9,28,51.0,18,69.0,41
9,21,69.0,15,84.0,49
9,56,84.0,20,104.0,55
9,15,104.0,16,120.0,57
9,52,120.0,17,137.0,58
