d_idle_0,sum_d_idle,mean_d_idle,ep
1,1,1.0,0
22,22,22.0,1
0,0,0.0,2
0,0,0.0,3
2,2,2.0,4
8,8,8.0,5
5,5,5.0,6
0,0,0.0,7
4,4,4.0,8
13,13,13.0,9
9,9,9.0,10
9,9,9.0,11
0,0,0.0,12
8,8,8.0,13
6,6,6.0,14
28,28,28.0,15
0,0,0.0,16
0,0,0.0,17
6,6,6.0,18
5,5,5.0,19
4,4,4.0,20
33,33,33.0,21
9,9,9.0,22
12,12,12.0,23
0,0,0.0,24
1,1,1.0,25
12,12,12.0,26
8,8,8.0,27
18,18,18.0,28
5,5,5.0,29
16,16,16.0,30
19,19,19.0,31
5,5,5.0,32
9,9,9.0,33
3,3,3.0,34
6,6,6.0,35
10,10,10.0,36
4,4,4.0,37
11,11,11.0,38
2,2,2.0,39
11,11,11.0,40
0,0,0.0,41
13,13,13.0,42
1,1,1.0,43
19,19,19.0,44
0,0,0.0,45
4,4,4.0,46
0,0,0.0,47
0,0,0.0,48
7,7,7.0,49
2,2,2.0,50
0,0,0.0,51
9,9,9.0,52
0,0,0.0,53
6,6,6.0,54
29,29,29.0,55
0,0,0.0,56
10,10,10.0,57
6,6,6.0,58
17,17,17.0,59
7,7,7.0,60
6,6,6.0,61
10,10,10.0,62
10,10,10.0,63
0,0,0.0,64
14,14,14.0,65
24,24,24.0,66
15,15,15.0,67
5,5,5.0,68
7,7,7.0,69
4,4,4.0,70
0,0,0.0,71
12,12,12.0,72
40,40,40.0,73
6,6,6.0,74
12,12,12.0,75
0,0,0.0,76
0,0,0.0,77
28,28,28.0,78
9,9,9.0,79
9,9,9.0,80
3,3,3.0,81
19,19,19.0,82
2,2,2.0,83
0,0,0.0,84
4,4,4.0,85
2,2,2.0,86
35,35,35.0,87
0,0,0.0,88
15,15,15.0,89
6,6,6.0,90
17,17,17.0,91
7,7,7.0,92
2,2,2.0,93
11,11,11.0,94
22,22,22.0,95
6,6,6.0,96
20,20,20.0,97
3,3,3.0,98
9,9,9.0,99
6,6,6.0,100
0,0,0.0,101
0,0,0.0,102
0,0,0.0,103
0,0,0.0,104
10,10,10.0,105
2,2,2.0,106
12,12,12.0,107
15,15,15.0,108
6,6,6.0,109
6,6,6.0,110
16,16,16.0,111
0,0,0.0,112
1,1,1.0,113
11,11,11.0,114
0,0,0.0,115
10,10,10.0,116
8,8,8.0,117
11,11,11.0,118
0,0,0.0,119
11,11,11.0,120
19,19,19.0,121
0,0,0.0,122
0,0,0.0,123
5,5,5.0,124
6,6,6.0,125
2,2,2.0,126
8,8,8.0,127
14,14,14.0,128
0,0,0.0,129
0,0,0.0,130
2,2,2.0,131
12,12,12.0,132
30,30,30.0,133
0,0,0.0,134
5,5,5.0,135
4,4,4.0,136
0,0,0.0,137
19,19,19.0,138
3,3,3.0,139
9,9,9.0,140
5,5,5.0,141
12,12,12.0,142
12,12,12.0,143
0,0,0.0,144
0,0,0.0,145
2,2,2.0,146
5,5,5.0,147
5,5,5.0,148
7,7,7.0,149
16,16,16.0,150
18,18,18.0,151
6,6,6.0,152
12,12,12.0,153
9,9,9.0,154
1,1,1.0,155
6,6,6.0,156
2,2,2.0,157
4,4,4.0,158
13,13,13.0,159
0,0,0.0,160
4,4,4.0,161
4,4,4.0,162
0,0,0.0,163
21,21,21.0,164
10,10,10.0,165
2,2,2.0,166
12,12,12.0,167
5,5,5.0,168
0,0,0.0,169
0,0,0.0,170
10,10,10.0,171
19,19,19.0,172
4,4,4.0,173
2,2,2.0,174
19,19,19.0,175
2,2,2.0,176
9,9,9.0,177
0,0,0.0,178
6,6,6.0,179
0,0,0.0,180
9,9,9.0,181
15,15,15.0,182
0,0,0.0,183
8,8,8.0,184
10,10,10.0,185
2,2,2.0,186
2,2,2.0,187
0,0,0.0,188
0,0,0.0,189
2,2,2.0,190
0,0,0.0,191
7,7,7.0,192
0,0,0.0,193
6,6,6.0,194
5,5,5.0,195
0,0,0.0,196
0,0,0.0,197
5,5,5.0,198
1,1,1.0,199
3,3,3.0,200
20,20,20.0,201
0,0,0.0,202
6,6,6.0,203
28,28,28.0,204
21,21,21.0,205
14,14,14.0,206
0,0,0.0,207
33,33,33.0,208
12,12,12.0,209
8,8,8.0,210
6,6,6.0,211
9,9,9.0,212
5,5,5.0,213
1,1,1.0,214
16,16,16.0,215
