d_idle_0,sum_d_idle,mean_d_idle,ep
11,11,11.0,0
31,31,31.0,1
0,0,0.0,2
15,15,15.0,3
6,6,6.0,4
6,6,6.0,5
20,20,20.0,6
8,8,8.0,7
18,18,18.0,8
4,4,4.0,9
0,0,0.0,10
14,14,14.0,11
10,10,10.0,12
5,5,5.0,13
13,13,13.0,14
15,15,15.0,15
4,4,4.0,16
4,4,4.0,17
8,8,8.0,18
5,5,5.0,19
2,2,2.0,20
17,17,17.0,21
10,10,10.0,22
0,0,0.0,23
8,8,8.0,24
9,9,9.0,25
10,10,10.0,26
16,16,16.0,27
16,16,16.0,28
0,0,0.0,29
1,1,1.0,30
28,28,28.0,31
14,14,14.0,32
14,14,14.0,33
6,6,6.0,34
21,21,21.0,35
4,4,4.0,36
0,0,0.0,37
5,5,5.0,38
2,2,2.0,39
25,25,25.0,40
6,6,6.0,41
16,16,16.0,42
2,2,2.0,43
2,2,2.0,44
14,14,14.0,45
0,0,0.0,46
2,2,2.0,47
0,0,0.0,48
8,8,8.0,49
18,18,18.0,50
15,15,15.0,51
7,7,7.0,52
0,0,0.0,53
5,5,5.0,54
6,6,6.0,55
10,10,10.0,56
0,0,0.0,57
0,0,0.0,58
0,0,0.0,59
3,3,3.0,60
5,5,5.0,61
0,0,0.0,62
12,12,12.0,63
0,0,0.0,64
0,0,0.0,65
35,35,35.0,66
12,12,12.0,67
6,6,6.0,68
1,1,1.0,69
6,6,6.0,70
12,12,12.0,71
13,13,13.0,72
12,12,12.0,73
2,2,2.0,74
4,4,4.0,75
11,11,11.0,76
4,4,4.0,77
23,23,23.0,78
28,28,28.0,79
21,21,21.0,80
0,0,0.0,81
13,13,13.0,82
16,16,16.0,83
3,3,3.0,84
4,4,4.0,85
4,4,4.0,86
1,1,1.0,87
0,0,0.0,88
10,10,10.0,89
6,6,6.0,90
9,9,9.0,91
0,0,0.0,92
7,7,7.0,93
2,2,2.0,94
20,20,20.0,95
3,3,3.0,96
0,0,0.0,97
0,0,0.0,98
3,3,3.0,99
4,4,4.0,100
0,0,0.0,101
5,5,5.0,102
4,4,4.0,103
0,0,0.0,104
3,3,3.0,105
0,0,0.0,106
8,8,8.0,107
3,3,3.0,108
6,6,6.0,109
0,0,0.0,110
1,1,1.0,111
7,7,7.0,112
5,5,5.0,113
4,4,4.0,114
0,0,0.0,115
0,0,0.0,116
2,2,2.0,117
15,15,15.0,118
3,3,3.0,119
0,0,0.0,120
10,10,10.0,121
0,0,0.0,122
20,20,20.0,123
