d_idle_0,sum_d_idle,mean_d_idle,ep
0,0,0.0,0
6,6,6.0,1
4,4,4.0,2
5,5,5.0,3
2,2,2.0,4
0,0,0.0,5
14,14,14.0,6
7,7,7.0,7
22,22,22.0,8
7,7,7.0,9
14,14,14.0,10
8,8,8.0,11
4,4,4.0,12
0,0,0.0,13
0,0,0.0,14
42,42,42.0,15
0,0,0.0,16
21,21,21.0,17
0,0,0.0,18
1,1,1.0,19
7,7,7.0,20
8,8,8.0,21
6,6,6.0,22
8,8,8.0,23
4,4,4.0,24
6,6,6.0,25
8,8,8.0,26
20,20,20.0,27
2,2,2.0,28
3,3,3.0,29
14,14,14.0,30
2,2,2.0,31
5,5,5.0,32
3,3,3.0,33
0,0,0.0,34
0,0,0.0,35
3,3,3.0,36
13,13,13.0,37
0,0,0.0,38
2,2,2.0,39
8,8,8.0,40
0,0,0.0,41
4,4,4.0,42
0,0,0.0,43
0,0,0.0,44
13,13,13.0,45
12,12,12.0,46
19,19,19.0,47
19,19,19.0,48
2,2,2.0,49
0,0,0.0,50
5,5,5.0,51
1,1,1.0,52
0,0,0.0,53
22,22,22.0,54
19,19,19.0,55
0,0,0.0,56
58,58,58.0,57
4,4,4.0,58
11,11,11.0,59
9,9,9.0,60
3,3,3.0,61
2,2,2.0,62
13,13,13.0,63
3,3,3.0,64
5,5,5.0,65
0,0,0.0,66
28,28,28.0,67
0,0,0.0,68
8,8,8.0,69
28,28,28.0,70
8,8,8.0,71
3,3,3.0,72
10,10,10.0,73
11,11,11.0,74
0,0,0.0,75
9,9,9.0,76
4,4,4.0,77
4,4,4.0,78
3,3,3.0,79
2,2,2.0,80
11,11,11.0,81
9,9,9.0,82
10,10,10.0,83
6,6,6.0,84
2,2,2.0,85
9,9,9.0,86
7,7,7.0,87
3,3,3.0,88
0,0,0.0,89
0,0,0.0,90
10,10,10.0,91
14,14,14.0,92
12,12,12.0,93
0,0,0.0,94
0,0,0.0,95
5,5,5.0,96
4,4,4.0,97
17,17,17.0,98
12,12,12.0,99
7,7,7.0,100
5,5,5.0,101
0,0,0.0,102
0,0,0.0,103
0,0,0.0,104
2,2,2.0,105
1,1,1.0,106
0,0,0.0,107
0,0,0.0,108
5,5,5.0,109
6,6,6.0,110
0,0,0.0,111
3,3,3.0,112
10,10,10.0,113
0,0,0.0,114
4,4,4.0,115
0,0,0.0,116
13,13,13.0,117
12,12,12.0,118
2,2,2.0,119
0,0,0.0,120
11,11,11.0,121
18,18,18.0,122
0,0,0.0,123
12,12,12.0,124
26,26,26.0,125
6,6,6.0,126
16,16,16.0,127
12,12,12.0,128
4,4,4.0,129
4,4,4.0,130
2,2,2.0,131
3,3,3.0,132
22,22,22.0,133
2,2,2.0,134
17,17,17.0,135
0,0,0.0,136
8,8,8.0,137
7,7,7.0,138
0,0,0.0,139
0,0,0.0,140
4,4,4.0,141
0,0,0.0,142
11,11,11.0,143
9,9,9.0,144
0,0,0.0,145
17,17,17.0,146
0,0,0.0,147
0,0,0.0,148
0,0,0.0,149
6,6,6.0,150
16,16,16.0,151
5,5,5.0,152
0,0,0.0,153
0,0,0.0,154
17,17,17.0,155
0,0,0.0,156
13,13,13.0,157
0,0,0.0,158
3,3,3.0,159
8,8,8.0,160
0,0,0.0,161
14,14,14.0,162
1,1,1.0,163
16,16,16.0,164
2,2,2.0,165
3,3,3.0,166
8,8,8.0,167
0,0,0.0,168
0,0,0.0,169
20,20,20.0,170
14,14,14.0,171
0,0,0.0,172
0,0,0.0,173
16,16,16.0,174
0,0,0.0,175
40,40,40.0,176
0,0,0.0,177
16,16,16.0,178
4,4,4.0,179
32,32,32.0,180
22,22,22.0,181
1,1,1.0,182
12,12,12.0,183
6,6,6.0,184
4,4,4.0,185
26,26,26.0,186
13,13,13.0,187
13,13,13.0,188
10,10,10.0,189
4,4,4.0,190
10,10,10.0,191
20,20,20.0,192
9,9,9.0,193
0,0,0.0,194
0,0,0.0,195
29,29,29.0,196
8,8,8.0,197
0,0,0.0,198
20,20,20.0,199
2,2,2.0,200
4,4,4.0,201
4,4,4.0,202
18,18,18.0,203
9,9,9.0,204
7,7,7.0,205
8,8,8.0,206
1,1,1.0,207
0,0,0.0,208
0,0,0.0,209
9,9,9.0,210
22,22,22.0,211
0,0,0.0,212
6,6,6.0,213
0,0,0.0,214
7,7,7.0,215
20,20,20.0,216
0,0,0.0,217
24,24,24.0,218
2,2,2.0,219
5,5,5.0,220
14,14,14.0,221
0,0,0.0,222
9,9,9.0,223
19,19,19.0,224
8,8,8.0,225
7,7,7.0,226
3,3,3.0,227
16,16,16.0,228
12,12,12.0,229
6,6,6.0,230
33,33,33.0,231
16,16,16.0,232
13,13,13.0,233
28,28,28.0,234
26,26,26.0,235
8,8,8.0,236
9,9,9.0,237
6,6,6.0,238
20,20,20.0,239
10,10,10.0,240
22,22,22.0,241
12,12,12.0,242
9,9,9.0,243
12,12,12.0,244
0,0,0.0,245
5,5,5.0,246
1,1,1.0,247
2,2,2.0,248
0,0,0.0,249
11,11,11.0,250
13,13,13.0,251
10,10,10.0,252
18,18,18.0,253
0,0,0.0,254
8,8,8.0,255
19,19,19.0,256
14,14,14.0,257
3,3,3.0,258
0,0,0.0,259
0,0,0.0,260
10,10,10.0,261
6,6,6.0,262
20,20,20.0,263
0,0,0.0,264
0,0,0.0,265
11,11,11.0,266
2,2,2.0,267
1,1,1.0,268
3,3,3.0,269
3,3,3.0,270
5,5,5.0,271
0,0,0.0,272
8,8,8.0,273
10,10,10.0,274
6,6,6.0,275
19,19,19.0,276
15,15,15.0,277
11,11,11.0,278
12,12,12.0,279
0,0,0.0,280
14,14,14.0,281
13,13,13.0,282
2,2,2.0,283
0,0,0.0,284
30,30,30.0,285
0,0,0.0,286
7,7,7.0,287
0,0,0.0,288
5,5,5.0,289
14,14,14.0,290
0,0,0.0,291
2,2,2.0,292
4,4,4.0,293
35,35,35.0,294
20,20,20.0,295
20,20,20.0,296
18,18,18.0,297
8,8,8.0,298
0,0,0.0,299
0,0,0.0,300
2,2,2.0,301
14,14,14.0,302
0,0,0.0,303
5,5,5.0,304
18,18,18.0,305
25,25,25.0,306
8,8,8.0,307
18,18,18.0,308
7,7,7.0,309
0,0,0.0,310
17,17,17.0,311
4,4,4.0,312
1,1,1.0,313
8,8,8.0,314
13,13,13.0,315
0,0,0.0,316
10,10,10.0,317
4,4,4.0,318
1,1,1.0,319
0,0,0.0,320
19,19,19.0,321
9,9,9.0,322
14,14,14.0,323
7,7,7.0,324
11,11,11.0,325
2,2,2.0,326
9,9,9.0,327
0,0,0.0,328
28,28,28.0,329
5,5,5.0,330
7,7,7.0,331
21,21,21.0,332
2,2,2.0,333
2,2,2.0,334
3,3,3.0,335
30,30,30.0,336
13,13,13.0,337
16,16,16.0,338
7,7,7.0,339
0,0,0.0,340
8,8,8.0,341
16,16,16.0,342
0,0,0.0,343
0,0,0.0,344
19,19,19.0,345
11,11,11.0,346
20,20,20.0,347
1,1,1.0,348
5,5,5.0,349
0,0,0.0,350
0,0,0.0,351
4,4,4.0,352
11,11,11.0,353
0,0,0.0,354
14,14,14.0,355
6,6,6.0,356
16,16,16.0,357
8,8,8.0,358
0,0,0.0,359
12,12,12.0,360
12,12,12.0,361
11,11,11.0,362
0,0,0.0,363
13,13,13.0,364
0,0,0.0,365
6,6,6.0,366
6,6,6.0,367
11,11,11.0,368
5,5,5.0,369
1,1,1.0,370
0,0,0.0,371
11,11,11.0,372
