d_idle_0,sum_d_idle,mean_d_idle,ep
44,44,44.0,0
3,3,3.0,1
8,8,8.0,2
9,9,9.0,3
22,22,22.0,4
0,0,0.0,5
19,19,19.0,6
0,0,0.0,7
31,31,31.0,8
2,2,2.0,9
0,0,0.0,10
7,7,7.0,11
0,0,0.0,12
2,2,2.0,13
3,3,3.0,14
0,0,0.0,15
3,3,3.0,16
8,8,8.0,17
7,7,7.0,18
0,0,0.0,19
11,11,11.0,20
14,14,14.0,21
22,22,22.0,22
0,0,0.0,23
0,0,0.0,24
0,0,0.0,25
9,9,9.0,26
8,8,8.0,27
23,23,23.0,28
20,20,20.0,29
9,9,9.0,30
6,6,6.0,31
0,0,0.0,32
21,21,21.0,33
4,4,4.0,34
16,16,16.0,35
0,0,0.0,36
26,26,26.0,37
2,2,2.0,38
0,0,0.0,39
18,18,18.0,40
28,28,28.0,41
15,15,15.0,42
13,13,13.0,43
0,0,0.0,44
12,12,12.0,45
9,9,9.0,46
0,0,0.0,47
0,0,0.0,48
3,3,3.0,49
8,8,8.0,50
21,21,21.0,51
18,18,18.0,52
5,5,5.0,53
14,14,14.0,54
0,0,0.0,55
8,8,8.0,56
0,0,0.0,57
5,5,5.0,58
0,0,0.0,59
16,16,16.0,60
0,0,0.0,61
20,20,20.0,62
1,1,1.0,63
7,7,7.0,64
0,0,0.0,65
11,11,11.0,66
3,3,3.0,67
0,0,0.0,68
8,8,8.0,69
0,0,0.0,70
38,38,38.0,71
1,1,1.0,72
6,6,6.0,73
16,16,16.0,74
14,14,14.0,75
0,0,0.0,76
18,18,18.0,77
9,9,9.0,78
26,26,26.0,79
9,9,9.0,80
0,0,0.0,81
6,6,6.0,82
6,6,6.0,83
9,9,9.0,84
12,12,12.0,85
0,0,0.0,86
13,13,13.0,87
28,28,28.0,88
0,0,0.0,89
4,4,4.0,90
12,12,12.0,91
20,20,20.0,92
2,2,2.0,93
6,6,6.0,94
14,14,14.0,95
3,3,3.0,96
0,0,0.0,97
0,0,0.0,98
10,10,10.0,99
2,2,2.0,100
17,17,17.0,101
0,0,0.0,102
0,0,0.0,103
7,7,7.0,104
42,42,42.0,105
12,12,12.0,106
3,3,3.0,107
10,10,10.0,108
0,0,0.0,109
5,5,5.0,110
7,7,7.0,111
0,0,0.0,112
1,1,1.0,113
7,7,7.0,114
0,0,0.0,115
30,30,30.0,116
10,10,10.0,117
2,2,2.0,118
0,0,0.0,119
16,16,16.0,120
0,0,0.0,121
0,0,0.0,122
21,21,21.0,123
6,6,6.0,124
6,6,6.0,125
0,0,0.0,126
12,12,12.0,127
13,13,13.0,128
11,11,11.0,129
0,0,0.0,130
0,0,0.0,131
0,0,0.0,132
24,24,24.0,133
29,29,29.0,134
9,9,9.0,135
5,5,5.0,136
6,6,6.0,137
5,5,5.0,138
9,9,9.0,139
11,11,11.0,140
6,6,6.0,141
31,31,31.0,142
0,0,0.0,143
12,12,12.0,144
4,4,4.0,145
0,0,0.0,146
6,6,6.0,147
12,12,12.0,148
5,5,5.0,149
7,7,7.0,150
0,0,0.0,151
12,12,12.0,152
6,6,6.0,153
5,5,5.0,154
0,0,0.0,155
0,0,0.0,156
4,4,4.0,157
10,10,10.0,158
3,3,3.0,159
21,21,21.0,160
20,20,20.0,161
0,0,0.0,162
6,6,6.0,163
0,0,0.0,164
1,1,1.0,165
77,77,77.0,166
8,8,8.0,167
0,0,0.0,168
19,19,19.0,169
8,8,8.0,170
20,20,20.0,171
0,0,0.0,172
5,5,5.0,173
12,12,12.0,174
11,11,11.0,175
0,0,0.0,176
7,7,7.0,177
11,11,11.0,178
4,4,4.0,179
0,0,0.0,180
12,12,12.0,181
0,0,0.0,182
12,12,12.0,183
8,8,8.0,184
0,0,0.0,185
1,1,1.0,186
0,0,0.0,187
10,10,10.0,188
38,38,38.0,189
0,0,0.0,190
5,5,5.0,191
4,4,4.0,192
0,0,0.0,193
24,24,24.0,194
4,4,4.0,195
9,9,9.0,196
2,2,2.0,197
12,12,12.0,198
21,21,21.0,199
9,9,9.0,200
0,0,0.0,201
3,3,3.0,202
14,14,14.0,203
12,12,12.0,204
0,0,0.0,205
0,0,0.0,206
6,6,6.0,207
19,19,19.0,208
6,6,6.0,209
0,0,0.0,210
10,10,10.0,211
6,6,6.0,212
4,4,4.0,213
2,2,2.0,214
2,2,2.0,215
12,12,12.0,216
10,10,10.0,217
0,0,0.0,218
