d_idle_0,sum_d_idle,mean_d_idle,ep
19,19,19.0,0
11,11,11.0,1
15,15,15.0,2
4,4,4.0,3
9,9,9.0,4
8,8,8.0,5
11,11,11.0,6
20,20,20.0,7
8,8,8.0,8
4,4,4.0,9
4,4,4.0,10
0,0,0.0,11
14,14,14.0,12
10,10,10.0,13
8,8,8.0,14
1,1,1.0,15
17,17,17.0,16
15,15,15.0,17
0,0,0.0,18
24,24,24.0,19
3,3,3.0,20
21,21,21.0,21
10,10,10.0,22
3,3,3.0,23
4,4,4.0,24
7,7,7.0,25
2,2,2.0,26
0,0,0.0,27
2,2,2.0,28
2,2,2.0,29
0,0,0.0,30
11,11,11.0,31
0,0,0.0,32
18,18,18.0,33
0,0,0.0,34
13,13,13.0,35
19,19,19.0,36
0,0,0.0,37
0,0,0.0,38
5,5,5.0,39
6,6,6.0,40
3,3,3.0,41
7,7,7.0,42
7,7,7.0,43
0,0,0.0,44
24,24,24.0,45
0,0,0.0,46
0,0,0.0,47
6,6,6.0,48
1,1,1.0,49
28,28,28.0,50
23,23,23.0,51
8,8,8.0,52
9,9,9.0,53
13,13,13.0,54
4,4,4.0,55
18,18,18.0,56
10,10,10.0,57
2,2,2.0,58
0,0,0.0,59
5,5,5.0,60
0,0,0.0,61
3,3,3.0,62
8,8,8.0,63
0,0,0.0,64
5,5,5.0,65
1,1,1.0,66
2,2,2.0,67
16,16,16.0,68
9,9,9.0,69
0,0,0.0,70
1,1,1.0,71
10,10,10.0,72
10,10,10.0,73
2,2,2.0,74
0,0,0.0,75
0,0,0.0,76
12,12,12.0,77
6,6,6.0,78
13,13,13.0,79
18,18,18.0,80
30,30,30.0,81
5,5,5.0,82
4,4,4.0,83
15,15,15.0,84
0,0,0.0,85
4,4,4.0,86
0,0,0.0,87
4,4,4.0,88
6,6,6.0,89
11,11,11.0,90
37,37,37.0,91
4,4,4.0,92
4,4,4.0,93
9,9,9.0,94
14,14,14.0,95
0,0,0.0,96
12,12,12.0,97
8,8,8.0,98
4,4,4.0,99
0,0,0.0,100
22,22,22.0,101
4,4,4.0,102
0,0,0.0,103
0,0,0.0,104
0,0,0.0,105
10,10,10.0,106
0,0,0.0,107
5,5,5.0,108
5,5,5.0,109
0,0,0.0,110
0,0,0.0,111
16,16,16.0,112
13,13,13.0,113
0,0,0.0,114
18,18,18.0,115
25,25,25.0,116
0,0,0.0,117
11,11,11.0,118
11,11,11.0,119
0,0,0.0,120
10,10,10.0,121
10,10,10.0,122
3,3,3.0,123
0,0,0.0,124
6,6,6.0,125
3,3,3.0,126
7,7,7.0,127
17,17,17.0,128
8,8,8.0,129
5,5,5.0,130
5,5,5.0,131
14,14,14.0,132
17,17,17.0,133
16,16,16.0,134
9,9,9.0,135
7,7,7.0,136
7,7,7.0,137
0,0,0.0,138
16,16,16.0,139
22,22,22.0,140
14,14,14.0,141
10,10,10.0,142
0,0,0.0,143
0,0,0.0,144
11,11,11.0,145
1,1,1.0,146
12,12,12.0,147
0,0,0.0,148
6,6,6.0,149
0,0,0.0,150
10,10,10.0,151
4,4,4.0,152
12,12,12.0,153
9,9,9.0,154
0,0,0.0,155
8,8,8.0,156
16,16,16.0,157
8,8,8.0,158
4,4,4.0,159
7,7,7.0,160
1,1,1.0,161
10,10,10.0,162
5,5,5.0,163
2,2,2.0,164
5,5,5.0,165
11,11,11.0,166
6,6,6.0,167
11,11,11.0,168
2,2,2.0,169
5,5,5.0,170
4,4,4.0,171
1,1,1.0,172
8,8,8.0,173
2,2,2.0,174
19,19,19.0,175
0,0,0.0,176
23,23,23.0,177
0,0,0.0,178
4,4,4.0,179
9,9,9.0,180
8,8,8.0,181
0,0,0.0,182
14,14,14.0,183
0,0,0.0,184
0,0,0.0,185
14,14,14.0,186
7,7,7.0,187
8,8,8.0,188
9,9,9.0,189
9,9,9.0,190
0,0,0.0,191
0,0,0.0,192
3,3,3.0,193
30,30,30.0,194
0,0,0.0,195
7,7,7.0,196
8,8,8.0,197
36,36,36.0,198
8,8,8.0,199
19,19,19.0,200
16,16,16.0,201
25,25,25.0,202
2,2,2.0,203
15,15,15.0,204
10,10,10.0,205
5,5,5.0,206
12,12,12.0,207
12,12,12.0,208
35,35,35.0,209
11,11,11.0,210
0,0,0.0,211
0,0,0.0,212
13,13,13.0,213
0,0,0.0,214
3,3,3.0,215
2,2,2.0,216
0,0,0.0,217
15,15,15.0,218
19,19,19.0,219
22,22,22.0,220
7,7,7.0,221
0,0,0.0,222
0,0,0.0,223
6,6,6.0,224
5,5,5.0,225
0,0,0.0,226
8,8,8.0,227
19,19,19.0,228
0,0,0.0,229
8,8,8.0,230
18,18,18.0,231
12,12,12.0,232
7,7,7.0,233
7,7,7.0,234
6,6,6.0,235
7,7,7.0,236
13,13,13.0,237
32,32,32.0,238
2,2,2.0,239
10,10,10.0,240
0,0,0.0,241
14,14,14.0,242
1,1,1.0,243
2,2,2.0,244
2,2,2.0,245
2,2,2.0,246
4,4,4.0,247
1,1,1.0,248
0,0,0.0,249
11,11,11.0,250
6,6,6.0,251
4,4,4.0,252
0,0,0.0,253
0,0,0.0,254
15,15,15.0,255
0,0,0.0,256
9,9,9.0,257
11,11,11.0,258
13,13,13.0,259
1,1,1.0,260
7,7,7.0,261
0,0,0.0,262
1,1,1.0,263
0,0,0.0,264
4,4,4.0,265
3,3,3.0,266
1,1,1.0,267
13,13,13.0,268
0,0,0.0,269
14,14,14.0,270
18,18,18.0,271
14,14,14.0,272
5,5,5.0,273
20,20,20.0,274
0,0,0.0,275
5,5,5.0,276
10,10,10.0,277
3,3,3.0,278
0,0,0.0,279
18,18,18.0,280
12,12,12.0,281
6,6,6.0,282
0,0,0.0,283
3,3,3.0,284
7,7,7.0,285
6,6,6.0,286
4,4,4.0,287
4,4,4.0,288
8,8,8.0,289
6,6,6.0,290
19,19,19.0,291
3,3,3.0,292
0,0,0.0,293
0,0,0.0,294
16,16,16.0,295
22,22,22.0,296
16,16,16.0,297
9,9,9.0,298
35,35,35.0,299
0,0,0.0,300
24,24,24.0,301
13,13,13.0,302
0,0,0.0,303
20,20,20.0,304
1,1,1.0,305
12,12,12.0,306
8,8,8.0,307
6,6,6.0,308
5,5,5.0,309
4,4,4.0,310
0,0,0.0,311
25,25,25.0,312
6,6,6.0,313
16,16,16.0,314
7,7,7.0,315
25,25,25.0,316
8,8,8.0,317
14,14,14.0,318
15,15,15.0,319
14,14,14.0,320
2,2,2.0,321
23,23,23.0,322
0,0,0.0,323
8,8,8.0,324
20,20,20.0,325
6,6,6.0,326
14,14,14.0,327
10,10,10.0,328
24,24,24.0,329
8,8,8.0,330
0,0,0.0,331
9,9,9.0,332
1,1,1.0,333
5,5,5.0,334
1,1,1.0,335
11,11,11.0,336
6,6,6.0,337
9,9,9.0,338
19,19,19.0,339
17,17,17.0,340
23,23,23.0,341
0,0,0.0,342
0,0,0.0,343
1,1,1.0,344
9,9,9.0,345
3,3,3.0,346
1,1,1.0,347
10,10,10.0,348
0,0,0.0,349
0,0,0.0,350
6,6,6.0,351
10,10,10.0,352
0,0,0.0,353
0,0,0.0,354
0,0,0.0,355
0,0,0.0,356
0,0,0.0,357
21,21,21.0,358
3,3,3.0,359
38,38,38.0,360
4,4,4.0,361
0,0,0.0,362
7,7,7.0,363
0,0,0.0,364
3,3,3.0,365
12,12,12.0,366
5,5,5.0,367
19,19,19.0,368
1,1,1.0,369
17,17,17.0,370
0,0,0.0,371
4,4,4.0,372
0,0,0.0,373
12,12,12.0,374
3,3,3.0,375
5,5,5.0,376
7,7,7.0,377
14,14,14.0,378
0,0,0.0,379
6,6,6.0,380
8,8,8.0,381
7,7,7.0,382
4,4,4.0,383
30,30,30.0,384
2,2,2.0,385
16,16,16.0,386
0,0,0.0,387
1,1,1.0,388
9,9,9.0,389
4,4,4.0,390
0,0,0.0,391
1,1,1.0,392
7,7,7.0,393
41,41,41.0,394
23,23,23.0,395
20,20,20.0,396
3,3,3.0,397
6,6,6.0,398
2,2,2.0,399
2,2,2.0,400
8,8,8.0,401
2,2,2.0,402
7,7,7.0,403
24,24,24.0,404
9,9,9.0,405
20,20,20.0,406
14,14,14.0,407
1,1,1.0,408
0,0,0.0,409
10,10,10.0,410
5,5,5.0,411
0,0,0.0,412
12,12,12.0,413
4,4,4.0,414
6,6,6.0,415
23,23,23.0,416
11,11,11.0,417
11,11,11.0,418
3,3,3.0,419
30,30,30.0,420
14,14,14.0,421
0,0,0.0,422
11,11,11.0,423
6,6,6.0,424
0,0,0.0,425
21,21,21.0,426
0,0,0.0,427
12,12,12.0,428
14,14,14.0,429
15,15,15.0,430
0,0,0.0,431
13,13,13.0,432
1,1,1.0,433
11,11,11.0,434
7,7,7.0,435
0,0,0.0,436
3,3,3.0,437
4,4,4.0,438
0,0,0.0,439
18,18,18.0,440
16,16,16.0,441
14,14,14.0,442
14,14,14.0,443
0,0,0.0,444
8,8,8.0,445
5,5,5.0,446
7,7,7.0,447
0,0,0.0,448
18,18,18.0,449
12,12,12.0,450
5,5,5.0,451
24,24,24.0,452
0,0,0.0,453
16,16,16.0,454
10,10,10.0,455
19,19,19.0,456
0,0,0.0,457
13,13,13.0,458
0,0,0.0,459
0,0,0.0,460
4,4,4.0,461
9,9,9.0,462
0,0,0.0,463
8,8,8.0,464
18,18,18.0,465
8,8,8.0,466
6,6,6.0,467
19,19,19.0,468
3,3,3.0,469
20,20,20.0,470
1,1,1.0,471
11,11,11.0,472
0,0,0.0,473
2,2,2.0,474
0,0,0.0,475
13,13,13.0,476
7,7,7.0,477
0,0,0.0,478
0,0,0.0,479
12,12,12.0,480
9,9,9.0,481
13,13,13.0,482
23,23,23.0,483
0,0,0.0,484
0,0,0.0,485
12,12,12.0,486
17,17,17.0,487
0,0,0.0,488
27,27,27.0,489
21,21,21.0,490
12,12,12.0,491
13,13,13.0,492
0,0,0.0,493
6,6,6.0,494
2,2,2.0,495
2,2,2.0,496
12,12,12.0,497
2,2,2.0,498
2,2,2.0,499
7,7,7.0,500
19,19,19.0,501
5,5,5.0,502
17,17,17.0,503
33,33,33.0,504
1,1,1.0,505
4,4,4.0,506
0,0,0.0,507
1,1,1.0,508
0,0,0.0,509
5,5,5.0,510
11,11,11.0,511
0,0,0.0,512
11,11,11.0,513
0,0,0.0,514
8,8,8.0,515
6,6,6.0,516
0,0,0.0,517
7,7,7.0,518
0,0,0.0,519
13,13,13.0,520
9,9,9.0,521
9,9,9.0,522
6,6,6.0,523
23,23,23.0,524
32,32,32.0,525
1,1,1.0,526
14,14,14.0,527
32,32,32.0,528
0,0,0.0,529
16,16,16.0,530
13,13,13.0,531
18,18,18.0,532
8,8,8.0,533
3,3,3.0,534
15,15,15.0,535
2,2,2.0,536
2,2,2.0,537
8,8,8.0,538
0,0,0.0,539
9,9,9.0,540
0,0,0.0,541
5,5,5.0,542
0,0,0.0,543
35,35,35.0,544
4,4,4.0,545
0,0,0.0,546
0,0,0.0,547
6,6,6.0,548
7,7,7.0,549
9,9,9.0,550
0,0,0.0,551
5,5,5.0,552
3,3,3.0,553
27,27,27.0,554
15,15,15.0,555
10,10,10.0,556
7,7,7.0,557
5,5,5.0,558
6,6,6.0,559
9,9,9.0,560
18,18,18.0,561
4,4,4.0,562
6,6,6.0,563
13,13,13.0,564
8,8,8.0,565
4,4,4.0,566
14,14,14.0,567
0,0,0.0,568
22,22,22.0,569
0,0,0.0,570
0,0,0.0,571
12,12,12.0,572
0,0,0.0,573
17,17,17.0,574
5,5,5.0,575
16,16,16.0,576
8,8,8.0,577
3,3,3.0,578
10,10,10.0,579
1,1,1.0,580
32,32,32.0,581
1,1,1.0,582
17,17,17.0,583
2,2,2.0,584
4,4,4.0,585
7,7,7.0,586
0,0,0.0,587
1,1,1.0,588
12,12,12.0,589
7,7,7.0,590
4,4,4.0,591
4,4,4.0,592
7,7,7.0,593
6,6,6.0,594
26,26,26.0,595
12,12,12.0,596
0,0,0.0,597
0,0,0.0,598
2,2,2.0,599
8,8,8.0,600
0,0,0.0,601
31,31,31.0,602
31,31,31.0,603
17,17,17.0,604
0,0,0.0,605
0,0,0.0,606
5,5,5.0,607
0,0,0.0,608
18,18,18.0,609
2,2,2.0,610
14,14,14.0,611
16,16,16.0,612
8,8,8.0,613
4,4,4.0,614
12,12,12.0,615
0,0,0.0,616
12,12,12.0,617
6,6,6.0,618
7,7,7.0,619
23,23,23.0,620
12,12,12.0,621
2,2,2.0,622
36,36,36.0,623
16,16,16.0,624
0,0,0.0,625
12,12,12.0,626
7,7,7.0,627
4,4,4.0,628
3,3,3.0,629
0,0,0.0,630
0,0,0.0,631
13,13,13.0,632
3,3,3.0,633
20,20,20.0,634
15,15,15.0,635
6,6,6.0,636
30,30,30.0,637
6,6,6.0,638
4,4,4.0,639
4,4,4.0,640
1,1,1.0,641
5,5,5.0,642
20,20,20.0,643
2,2,2.0,644
6,6,6.0,645
13,13,13.0,646
19,19,19.0,647
2,2,2.0,648
13,13,13.0,649
34,34,34.0,650
16,16,16.0,651
33,33,33.0,652
6,6,6.0,653
0,0,0.0,654
4,4,4.0,655
6,6,6.0,656
29,29,29.0,657
18,18,18.0,658
6,6,6.0,659
0,0,0.0,660
29,29,29.0,661
19,19,19.0,662
10,10,10.0,663
10,10,10.0,664
4,4,4.0,665
11,11,11.0,666
5,5,5.0,667
3,3,3.0,668
6,6,6.0,669
2,2,2.0,670
12,12,12.0,671
1,1,1.0,672
20,20,20.0,673
18,18,18.0,674
28,28,28.0,675
25,25,25.0,676
12,12,12.0,677
6,6,6.0,678
2,2,2.0,679
0,0,0.0,680
18,18,18.0,681
31,31,31.0,682
7,7,7.0,683
0,0,0.0,684
0,0,0.0,685
11,11,11.0,686
17,17,17.0,687
34,34,34.0,688
6,6,6.0,689
6,6,6.0,690
19,19,19.0,691
4,4,4.0,692
14,14,14.0,693
7,7,7.0,694
0,0,0.0,695
8,8,8.0,696
0,0,0.0,697
0,0,0.0,698
3,3,3.0,699
2,2,2.0,700
0,0,0.0,701
11,11,11.0,702
12,12,12.0,703
3,3,3.0,704
3,3,3.0,705
8,8,8.0,706
17,17,17.0,707
25,25,25.0,708
18,18,18.0,709
13,13,13.0,710
0,0,0.0,711
16,16,16.0,712
19,19,19.0,713
1,1,1.0,714
18,18,18.0,715
6,6,6.0,716
3,3,3.0,717
15,15,15.0,718
0,0,0.0,719
6,6,6.0,720
0,0,0.0,721
0,0,0.0,722
7,7,7.0,723
4,4,4.0,724
0,0,0.0,725
17,17,17.0,726
0,0,0.0,727
5,5,5.0,728
8,8,8.0,729
11,11,11.0,730
0,0,0.0,731
5,5,5.0,732
3,3,3.0,733
0,0,0.0,734
9,9,9.0,735
16,16,16.0,736
0,0,0.0,737
8,8,8.0,738
1,1,1.0,739
18,18,18.0,740
1,1,1.0,741
0,0,0.0,742
0,0,0.0,743
1,1,1.0,744
0,0,0.0,745
0,0,0.0,746
13,13,13.0,747
7,7,7.0,748
29,29,29.0,749
2,2,2.0,750
0,0,0.0,751
25,25,25.0,752
8,8,8.0,753
9,9,9.0,754
2,2,2.0,755
0,0,0.0,756
0,0,0.0,757
1,1,1.0,758
3,3,3.0,759
1,1,1.0,760
11,11,11.0,761
25,25,25.0,762
10,10,10.0,763
8,8,8.0,764
4,4,4.0,765
16,16,16.0,766
13,13,13.0,767
12,12,12.0,768
8,8,8.0,769
17,17,17.0,770
8,8,8.0,771
7,7,7.0,772
14,14,14.0,773
11,11,11.0,774
21,21,21.0,775
