d_idle_0,sum_d_idle,mean_d_idle,ep
6,6,6.0,0
5,5,5.0,1
7,7,7.0,2
1,1,1.0,3
25,25,25.0,4
11,11,11.0,5
22,22,22.0,6
18,18,18.0,7
0,0,0.0,8
22,22,22.0,9
5,5,5.0,10
4,4,4.0,11
8,8,8.0,12
1,1,1.0,13
1,1,1.0,14
16,16,16.0,15
13,13,13.0,16
9,9,9.0,17
0,0,0.0,18
6,6,6.0,19
8,8,8.0,20
9,9,9.0,21
0,0,0.0,22
6,6,6.0,23
15,15,15.0,24
0,0,0.0,25
35,35,35.0,26
4,4,4.0,27
0,0,0.0,28
11,11,11.0,29
12,12,12.0,30
6,6,6.0,31
2,2,2.0,32
3,3,3.0,33
7,7,7.0,34
7,7,7.0,35
0,0,0.0,36
18,18,18.0,37
0,0,0.0,38
16,16,16.0,39
0,0,0.0,40
0,0,0.0,41
10,10,10.0,42
4,4,4.0,43
24,24,24.0,44
8,8,8.0,45
14,14,14.0,46
1,1,1.0,47
6,6,6.0,48
5,5,5.0,49
53,53,53.0,50
9,9,9.0,51
19,19,19.0,52
17,17,17.0,53
4,4,4.0,54
12,12,12.0,55
17,17,17.0,56
0,0,0.0,57
11,11,11.0,58
22,22,22.0,59
9,9,9.0,60
11,11,11.0,61
9,9,9.0,62
25,25,25.0,63
6,6,6.0,64
19,19,19.0,65
6,6,6.0,66
6,6,6.0,67
1,1,1.0,68
0,0,0.0,69
7,7,7.0,70
20,20,20.0,71
10,10,10.0,72
1,1,1.0,73
7,7,7.0,74
1,1,1.0,75
6,6,6.0,76
11,11,11.0,77
4,4,4.0,78
19,19,19.0,79
6,6,6.0,80
15,15,15.0,81
0,0,0.0,82
0,0,0.0,83
3,3,3.0,84
7,7,7.0,85
0,0,0.0,86
0,0,0.0,87
6,6,6.0,88
10,10,10.0,89
4,4,4.0,90
8,8,8.0,91
20,20,20.0,92
7,7,7.0,93
0,0,0.0,94
4,4,4.0,95
0,0,0.0,96
24,24,24.0,97
7,7,7.0,98
8,8,8.0,99
31,31,31.0,100
3,3,3.0,101
9,9,9.0,102
11,11,11.0,103
15,15,15.0,104
10,10,10.0,105
0,0,0.0,106
14,14,14.0,107
6,6,6.0,108
0,0,0.0,109
12,12,12.0,110
8,8,8.0,111
4,4,4.0,112
22,22,22.0,113
0,0,0.0,114
0,0,0.0,115
4,4,4.0,116
16,16,16.0,117
16,16,16.0,118
2,2,2.0,119
0,0,0.0,120
12,12,12.0,121
0,0,0.0,122
5,5,5.0,123
14,14,14.0,124
5,5,5.0,125
0,0,0.0,126
11,11,11.0,127
5,5,5.0,128
27,27,27.0,129
6,6,6.0,130
6,6,6.0,131
27,27,27.0,132
12,12,12.0,133
7,7,7.0,134
2,2,2.0,135
22,22,22.0,136
32,32,32.0,137
2,2,2.0,138
21,21,21.0,139
4,4,4.0,140
16,16,16.0,141
5,5,5.0,142
6,6,6.0,143
9,9,9.0,144
12,12,12.0,145
1,1,1.0,146
13,13,13.0,147
5,5,5.0,148
8,8,8.0,149
6,6,6.0,150
11,11,11.0,151
4,4,4.0,152
1,1,1.0,153
7,7,7.0,154
9,9,9.0,155
1,1,1.0,156
5,5,5.0,157
6,6,6.0,158
9,9,9.0,159
3,3,3.0,160
10,10,10.0,161
0,0,0.0,162
2,2,2.0,163
2,2,2.0,164
18,18,18.0,165
0,0,0.0,166
5,5,5.0,167
18,18,18.0,168
11,11,11.0,169
3,3,3.0,170
0,0,0.0,171
22,22,22.0,172
2,2,2.0,173
4,4,4.0,174
5,5,5.0,175
5,5,5.0,176
0,0,0.0,177
4,4,4.0,178
7,7,7.0,179
1,1,1.0,180
4,4,4.0,181
15,15,15.0,182
14,14,14.0,183
2,2,2.0,184
4,4,4.0,185
4,4,4.0,186
0,0,0.0,187
16,16,16.0,188
15,15,15.0,189
10,10,10.0,190
8,8,8.0,191
6,6,6.0,192
12,12,12.0,193
3,3,3.0,194
9,9,9.0,195
11,11,11.0,196
4,4,4.0,197
24,24,24.0,198
12,12,12.0,199
2,2,2.0,200
10,10,10.0,201
10,10,10.0,202
50,50,50.0,203
0,0,0.0,204
4,4,4.0,205
10,10,10.0,206
11,11,11.0,207
14,14,14.0,208
13,13,13.0,209
15,15,15.0,210
20,20,20.0,211
2,2,2.0,212
13,13,13.0,213
13,13,13.0,214
12,12,12.0,215
0,0,0.0,216
0,0,0.0,217
14,14,14.0,218
43,43,43.0,219
3,3,3.0,220
7,7,7.0,221
0,0,0.0,222
11,11,11.0,223
7,7,7.0,224
14,14,14.0,225
0,0,0.0,226
11,11,11.0,227
0,0,0.0,228
5,5,5.0,229
0,0,0.0,230
11,11,11.0,231
18,18,18.0,232
12,12,12.0,233
12,12,12.0,234
4,4,4.0,235
4,4,4.0,236
1,1,1.0,237
17,17,17.0,238
19,19,19.0,239
0,0,0.0,240
1,1,1.0,241
18,18,18.0,242
4,4,4.0,243
20,20,20.0,244
7,7,7.0,245
8,8,8.0,246
17,17,17.0,247
22,22,22.0,248
25,25,25.0,249
15,15,15.0,250
1,1,1.0,251
0,0,0.0,252
4,4,4.0,253
21,21,21.0,254
18,18,18.0,255
0,0,0.0,256
10,10,10.0,257
5,5,5.0,258
16,16,16.0,259
1,1,1.0,260
2,2,2.0,261
5,5,5.0,262
12,12,12.0,263
17,17,17.0,264
9,9,9.0,265
11,11,11.0,266
6,6,6.0,267
7,7,7.0,268
1,1,1.0,269
4,4,4.0,270
0,0,0.0,271
6,6,6.0,272
0,0,0.0,273
0,0,0.0,274
17,17,17.0,275
12,12,12.0,276
12,12,12.0,277
4,4,4.0,278
11,11,11.0,279
0,0,0.0,280
1,1,1.0,281
5,5,5.0,282
4,4,4.0,283
3,3,3.0,284
21,21,21.0,285
0,0,0.0,286
0,0,0.0,287
28,28,28.0,288
0,0,0.0,289
5,5,5.0,290
0,0,0.0,291
5,5,5.0,292
3,3,3.0,293
23,23,23.0,294
5,5,5.0,295
25,25,25.0,296
0,0,0.0,297
14,14,14.0,298
0,0,0.0,299
10,10,10.0,300
18,18,18.0,301
25,25,25.0,302
2,2,2.0,303
14,14,14.0,304
10,10,10.0,305
20,20,20.0,306
7,7,7.0,307
4,4,4.0,308
16,16,16.0,309
7,7,7.0,310
6,6,6.0,311
0,0,0.0,312
26,26,26.0,313
0,0,0.0,314
26,26,26.0,315
15,15,15.0,316
2,2,2.0,317
26,26,26.0,318
12,12,12.0,319
1,1,1.0,320
19,19,19.0,321
5,5,5.0,322
8,8,8.0,323
4,4,4.0,324
22,22,22.0,325
23,23,23.0,326
18,18,18.0,327
6,6,6.0,328
4,4,4.0,329
15,15,15.0,330
6,6,6.0,331
14,14,14.0,332
