pid,did,pro_time
74,1,10
36,3,20
14,4,10
86,0,16
2,8,18
108,4,17
97,3,12
110,4,17
68,1,12
115,1,12
19,3,15
110,0,11
89,7,17
23,9,18
100,5,10
24,2,11
26,0,14
90,7,11
11,0,19
87,2,17
52,9,15
38,4,17
66,7,20
57,2,11
39,9,20
17,9,15
70,8,13
33,6,17
77,1,10
49,5,16
62,1,15
107,1,11
2,4,10
56,6,14
42,8,17
71,1,14
73,3,20
72,2,20
30,5,12
78,5,14
15,8,15
82,9,19
8,2,13
81,4,18
44,5,18
58,6,17
40,5,14
34,3,13
69,8,17
104,9,18
60,7,19
76,9,19
94,6,19
92,4,19
53,0,16
116,3,19
113,3,20
51,2,14
111,0,12
103,3,15
96,7,15
69,5,18
28,2,17
27,0,20
85,1,19
21,7,14
54,0,20
20,7,12
12,5,10
10,9,17
98,7,18
16,7,18
63,0,18
88,4,14
45,3,11
0,2,20
118,8,18
44,9,16
95,8,10
62,7,17
64,4,18
99,4,20
102,9,16
75,4,14
6,1,19
38,9,19
91,3,14
31,0,19
83,9,20
118,3,19
93,5,11
9,7,13
22,8,12
51,0,11
50,7,12
61,9,16
55,4,15
70,7,10
92,0,19
3,6,11
43,4,16
18,0,16
25,2,12
41,4,17
35,8,13
47,3,19
5,3,19
38,6,16
33,2,15
46,7,18
37,6,13
67,6,19
7,9,20
80,0,18
59,2,13
29,1,10
105,2,15
13,2,13
32,8,20
109,6,11
65,3,10
48,2,19
112,1,10
4,6,16
82,6,17
79,6,19
84,6,14
49,1,14
106,5,10
67,1,15
117,8,15
114,5,10
119,1,13
101,5,11
35,5,13
117,6,15
82,8,15
27,8,17
106,8,11
1,5,19
