pid,did,pro_time
71,9,20
1,6,12
42,1,11
87,0,11
85,8,15
17,6,14
55,2,13
52,4,15
83,5,15
8,6,11
75,1,15
74,7,10
18,2,11
93,4,18
10,1,15
99,9,19
86,3,12
70,1,20
94,4,14
15,8,11
35,3,17
3,1,17
39,4,15
7,8,20
45,1,15
21,7,15
23,8,18
13,5,16
37,2,13
40,5,16
78,7,17
62,6,12
61,8,19
47,2,11
60,6,19
46,1,19
65,4,15
14,6,20
9,5,20
68,2,15
26,4,18
25,8,10
50,0,11
51,4,14
36,8,11
73,0,10
31,6,16
25,6,11
89,0,20
77,1,16
25,9,15
59,8,10
4,3,19
82,8,13
12,8,10
96,8,15
54,0,17
53,0,18
91,1,19
32,3,12
80,2,15
2,8,18
22,6,14
97,6,13
49,4,15
34,8,16
2,4,11
56,2,20
64,0,18
64,5,16
86,4,18
0,9,16
84,7,18
96,5,17
5,1,13
88,0,17
96,4,20
6,1,13
90,2,19
73,4,16
90,4,13
16,1,18
63,5,15
14,0,14
11,6,10
72,9,12
24,9,19
67,2,20
66,2,14
33,5,10
30,1,17
2,2,17
95,7,17
28,0,17
41,0,17
98,3,15
38,5,11
90,3,20
73,3,19
79,0,17
27,5,19
81,7,20
76,9,19
49,6,19
49,7,14
28,2,10
64,3,13
19,3,17
92,3,15
29,5,18
20,7,11
58,0,20
92,7,18
43,5,11
92,9,15
28,7,20
45,2,15
97,3,10
48,9,11
45,7,13
48,3,19
14,5,17
69,6,10
57,9,20
95,9,12
48,7,12
44,9,10
95,3,16
