pid,did,pro_time
52,8,20
23,8,20
48,6,17
12,5,16
39,9,11
56,3,20
4,1,11
19,3,16
63,2,19
17,2,19
11,5,12
25,2,16
64,2,16
73,5,20
66,4,20
1,2,19
38,6,15
59,6,19
37,4,10
27,1,11
42,4,10
6,3,11
31,1,16
9,1,20
33,5,13
35,1,10
20,5,11
7,5,10
15,3,15
75,0,13
53,8,20
62,9,14
28,5,17
29,9,16
79,7,14
5,2,17
32,0,13
30,6,12
7,0,13
49,4,15
18,2,15
21,7,18
61,3,13
59,9,16
62,3,12
14,2,18
60,5,13
54,2,14
58,5,17
74,6,13
44,9,16
57,4,20
72,3,14
77,4,10
67,9,16
3,5,16
40,0,13
16,0,16
13,7,20
71,8,10
51,2,15
66,1,17
47,1,10
4,3,16
69,9,10
8,9,10
78,3,12
1,9,12
46,0,18
59,4,19
70,8,19
22,6,20
13,0,15
50,8,18
24,0,17
4,6,14
13,1,12
26,0,19
36,0,11
1,1,15
2,4,16
0,3,14
55,7,15
37,7,19
41,7,20
68,8,12
65,9,17
5,6,13
34,6,16
62,8,14
34,8,11
20,6,15
43,4,20
76,4,20
45,1,11
43,8,14
43,7,13
20,7,12
10,7,12
