pid,did,pro_time
2,1,14
194,6,15
49,19,20
68,16,17
102,3,14
12,15,19
55,14,18
107,18,11
195,17,16
28,7,10
202,4,11
238,6,14
138,4,10
188,18,20
142,12,14
232,0,18
133,11,10
81,7,12
85,11,18
229,19,17
210,0,16
7,16,18
233,15,14
163,6,14
148,2,12
186,11,20
180,0,10
43,19,16
144,9,10
250,16,15
67,11,19
142,5,14
158,1,11
126,4,16
179,14,20
10,16,14
98,18,12
41,10,10
15,17,10
162,12,15
206,6,10
160,2,15
209,7,17
154,14,11
108,10,14
243,17,10
33,13,13
157,5,16
257,11,19
57,6,13
211,15,19
39,5,17
135,0,11
247,10,19
16,13,14
8,2,12
223,12,15
187,2,13
61,15,10
190,16,17
104,13,14
27,6,19
120,17,14
64,10,14
30,17,15
213,2,15
159,15,20
212,1,12
129,4,18
124,14,15
6,10,11
32,8,16
165,10,13
134,5,14
94,17,17
214,1,11
189,11,18
88,8,14
259,19,19
87,1,11
83,19,12
140,8,15
160,11,10
86,17,14
151,19,14
78,6,10
166,5,16
191,3,19
44,6,18
181,16,15
0,7,17
242,3,17
228,4,15
131,15,18
203,17,10
23,17,18
76,11,13
137,19,20
34,19,13
171,0,16
221,12,18
225,16,14
119,7,13
145,6,11
152,5,11
253,4,19
71,18,12
168,18,18
235,6,10
52,5,12
184,9,10
112,16,10
63,5,13
245,0,20
56,4,19
230,16,10
72,0,19
79,7,13
5,5,10
149,6,16
147,5,17
139,6,14
136,13,19
28,2,14
96,1,19
208,4,11
25,8,13
222,9,18
197,0,17
8,8,17
256,0,13
106,8,13
182,7,11
106,3,10
234,15,12
240,17,20
149,8,14
198,18,20
82,4,15
231,17,18
62,18,16
172,8,18
29,17,19
38,15,17
110,14,20
122,16,16
58,8,18
185,0,17
192,8,13
91,13,19
200,1,18
40,6,13
217,10,13
109,14,12
183,4,10
232,9,17
178,9,17
237,17,13
175,18,19
101,18,19
10,11,14
153,16,15
150,8,20
82,17,11
82,11,15
199,16,10
84,2,17
58,9,17
3,2,13
36,15,14
14,12,20
35,12,12
40,17,11
58,19,10
74,0,13
93,8,20
155,0,12
143,6,19
173,16,11
161,17,17
141,16,16
95,14,19
227,7,10
40,12,10
252,13,15
80,13,20
193,17,15
177,10,19
74,3,13
32,7,15
249,10,16
50,16,13
219,14,13
117,11,18
169,11,11
241,15,16
18,11,17
31,11,13
47,12,12
121,1,20
236,0,20
115,10,20
241,5,17
258,2,11
118,19,18
11,5,20
51,12,18
224,9,15
56,7,17
75,14,16
10,2,18
9,12,14
1,18,20
237,2,15
227,10,15
204,14,11
176,6,16
77,5,18
248,9,14
118,12,18
97,15,12
73,0,16
74,14,17
48,5,14
36,5,13
155,15,20
105,19,19
246,4,12
54,8,12
192,14,16
37,12,15
99,15,16
196,4,16
45,2,17
258,19,13
207,18,10
167,18,18
192,1,18
125,4,19
155,4,12
53,4,19
60,1,15
138,3,14
13,4,18
116,19,14
251,4,12
66,1,14
28,16,17
24,16,18
127,2,19
89,15,11
59,1,14
17,19,20
111,9,14
232,14,17
170,5,13
56,2,18
226,5,16
244,8,14
62,0,13
206,18,10
128,12,13
142,9,14
138,13,13
149,13,13
46,8,10
118,0,20
215,19,13
90,10,18
97,14,11
19,9,12
113,14,19
160,7,18
65,8,19
18,1,11
20,7,10
156,9,16
99,11,11
171,9,14
258,11,19
26,6,16
206,3,14
130,13,15
77,19,16
8,9,13
53,13,19
254,7,17
77,14,14
103,3,10
32,2,10
69,2,13
164,15,19
97,18,12
114,0,11
92,12,19
21,10,14
53,14,19
132,11,10
99,3,13
255,12,17
216,15,16
220,1,18
106,6,13
62,2,10
4,7,15
156,19,11
29,12,12
241,10,13
257,1,19
156,12,16
70,18,13
100,10,19
113,7,13
254,9,13
218,9,20
123,18,18
239,13,16
42,18,19
29,15,10
146,3,19
171,1,18
201,7,20
257,3,12
113,13,12
174,10,13
36,13,16
164,1,13
22,13,19
227,3,15
18,3,20
164,7,15
237,13,10
205,10,15
