pid,did,pro_time
59,5,10
59,4,7
59,2,15
5,5,10
5,0,8
5,3,20
20,1,12
20,2,15
20,5,10
198,0,8
198,2,15
198,1,12
52,4,7
52,5,10
52,0,8
19,5,10
19,0,8
19,1,12
162,3,20
162,5,10
162,1,12
55,4,7
55,3,20
55,5,10
69,0,8
69,5,10
69,2,15
2,1,12
2,0,8
2,4,7
98,5,10
98,0,8
98,1,12
10,4,7
10,1,12
10,2,15
6,0,8
6,3,20
135,4,7
135,1,12
108,5,10
108,4,7
172,4,7
172,5,10
199,1,12
199,3,20
8,1,12
8,2,15
61,1,12
61,3,20
134,5,10
134,4,7
0,5,10
1,2,15
3,3,20
4,4,7
7,3,20
9,5,10
11,4,7
12,0,8
13,1,12
14,5,10
15,3,20
16,0,8
17,2,15
18,5,10
21,5,10
22,1,12
23,5,10
24,4,7
25,5,10
26,4,7
27,1,12
28,3,20
29,2,15
30,3,20
31,4,7
32,5,10
33,5,10
34,3,20
35,2,15
36,3,20
37,2,15
38,4,7
39,3,20
40,5,10
41,1,12
42,0,8
43,5,10
44,0,8
45,2,15
46,3,20
47,2,15
48,2,15
49,3,20
50,4,7
51,2,15
53,4,7
54,4,7
56,1,12
57,1,12
58,2,15
60,0,8
62,4,7
63,1,12
64,2,15
65,2,15
66,0,8
67,0,8
68,1,12
70,1,12
71,1,12
72,5,10
73,4,7
74,5,10
75,2,15
76,4,7
77,2,15
78,3,20
79,1,12
80,0,8
81,5,10
82,0,8
83,1,12
84,5,10
85,5,10
86,2,15
87,1,12
88,2,15
89,0,8
90,1,12
91,3,20
92,0,8
93,2,15
94,5,10
95,0,8
96,1,12
97,0,8
99,2,15
100,1,12
101,0,8
102,1,12
103,2,15
104,3,20
105,4,7
106,4,7
107,5,10
109,2,15
110,5,10
111,1,12
112,5,10
113,1,12
114,0,8
115,1,12
116,4,7
117,4,7
118,2,15
119,1,12
120,1,12
121,5,10
122,1,12
123,1,12
124,0,8
125,0,8
126,4,7
127,5,10
128,0,8
129,1,12
130,0,8
131,0,8
132,3,20
133,2,15
136,4,7
137,4,7
138,0,8
139,2,15
140,3,20
141,4,7
142,1,12
143,3,20
144,1,12
145,0,8
146,5,10
147,5,10
148,0,8
149,0,8
150,5,10
151,4,7
152,5,10
153,3,20
154,0,8
155,3,20
156,0,8
157,1,12
158,4,7
159,2,15
160,4,7
161,3,20
163,0,8
164,4,7
165,2,15
166,0,8
167,0,8
168,0,8
169,3,20
170,2,15
171,4,7
173,3,20
174,2,15
175,4,7
176,3,20
177,5,10
178,0,8
179,2,15
180,4,7
181,2,15
182,4,7
183,4,7
184,3,20
185,4,7
186,2,15
187,2,15
188,3,20
189,2,15
190,3,20
191,2,15
192,3,20
193,3,20
194,3,20
195,3,20
196,3,20
197,3,20
