pid,did,pro_time
76,11,7
76,14,5
76,9,8
460,7,8
460,6,5
460,12,7
538,14,8
538,12,8
538,5,6
657,19,9
657,7,6
657,17,6
114,7,9
114,15,9
114,1,6
79,0,8
79,19,5
79,21,10
104,9,10
104,19,5
104,22,9
623,15,9
623,7,10
623,9,8
678,13,9
678,15,8
678,24,9
401,2,8
401,15,9
401,3,7
184,12,7
184,15,10
184,0,8
485,21,6
485,6,9
485,18,6
506,18,10
506,7,7
506,23,8
335,3,8
335,1,9
335,15,10
405,8,9
405,5,8
405,21,10
380,12,6
380,8,7
380,15,6
346,17,10
346,3,8
346,7,5
18,0,6
18,16,7
18,6,8
592,4,9
592,5,7
592,1,6
215,8,8
215,12,5
215,18,7
266,15,6
266,20,7
266,16,10
105,12,8
105,10,7
105,2,5
162,10,10
162,1,9
162,9,5
372,3,7
372,9,10
372,2,10
313,12,6
313,2,6
313,17,9
522,21,7
522,5,6
522,17,8
69,19,6
69,18,6
69,16,8
676,12,7
676,1,7
676,4,8
57,7,10
57,9,5
57,3,7
357,20,10
357,23,7
357,19,5
536,7,9
536,5,5
536,8,8
567,23,6
567,0,10
567,6,9
284,23,10
284,4,5
284,13,9
99,10,7
99,17,7
99,12,6
151,6,9
151,18,10
151,3,7
709,22,8
709,2,5
709,8,9
208,3,5
208,19,8
208,22,10
373,3,5
373,8,6
373,6,10
127,15,5
127,14,8
127,6,7
130,23,5
130,4,8
130,2,9
113,18,10
113,19,5
113,3,5
558,11,6
558,24,9
558,22,8
695,17,5
695,8,10
695,1,5
549,15,7
549,9,9
549,14,6
109,12,7
109,7,9
109,17,9
259,6,7
259,3,10
259,0,10
615,16,6
615,20,6
615,17,8
265,23,5
265,0,10
265,18,9
728,16,10
728,22,9
728,15,5
223,9,10
223,24,10
223,16,5
315,20,8
315,7,8
315,22,10
711,24,6
711,20,10
711,16,7
349,3,8
349,21,8
349,9,7
126,20,8
126,14,8
323,15,8
323,18,8
698,7,5
698,1,9
78,24,5
78,21,5
227,21,7
227,13,6
457,17,8
457,3,9
605,6,7
605,21,8
86,2,7
86,11,9
145,12,10
145,3,8
103,24,5
103,14,5
488,5,6
488,15,9
203,15,9
203,3,5
636,13,7
636,3,8
233,9,8
233,14,7
365,22,7
365,17,6
520,5,8
520,14,7
734,18,5
734,16,7
593,9,8
593,11,7
590,19,10
590,18,7
225,1,7
225,10,6
10,5,5
10,1,9
9,4,8
9,9,7
0,5,5
1,14,8
2,14,10
3,18,7
4,22,9
5,19,9
6,22,6
7,1,9
8,18,8
11,10,6
12,19,9
13,8,8
14,3,8
15,16,7
16,3,5
17,20,6
19,16,7
20,19,6
21,1,8
22,19,6
23,17,7
24,16,7
25,2,5
26,12,10
27,20,8
28,10,10
29,22,9
30,10,8
31,9,10
32,14,8
33,24,8
34,17,5
35,13,7
36,15,10
37,7,5
38,23,9
39,14,8
40,15,7
41,5,6
42,8,9
43,6,6
44,19,8
45,16,6
46,3,10
47,5,6
48,3,9
49,16,8
50,15,10
51,7,9
52,7,8
53,1,9
54,23,6
55,6,6
56,16,10
58,18,8
59,8,5
60,14,10
61,8,10
62,14,6
63,15,5
64,21,9
65,11,5
66,1,10
67,14,8
68,21,10
70,3,8
71,23,10
72,16,5
73,20,5
74,22,6
75,1,9
77,10,5
80,13,7
81,2,5
82,8,7
83,15,5
84,3,6
85,2,5
87,7,9
88,21,6
89,21,5
90,1,9
91,6,10
92,20,6
93,12,6
94,12,6
95,12,5
96,7,5
97,10,8
98,0,10
100,9,7
101,16,9
102,1,10
106,8,5
107,18,6
108,10,7
110,7,6
111,11,10
112,2,7
115,23,9
116,9,10
117,4,10
118,6,9
119,11,5
120,22,6
121,10,6
122,17,7
123,5,10
124,12,9
125,8,6
128,8,6
129,19,5
131,14,9
132,7,5
133,15,9
134,0,6
135,21,9
136,12,9
137,2,10
138,13,6
139,23,9
140,18,10
141,10,10
142,1,5
143,3,10
144,24,6
146,24,5
