pid,did,pro_time
54,3,5
54,13,9
54,17,7
524,5,9
524,18,5
524,11,9
59,2,5
59,19,8
59,4,8
17,14,10
17,3,5
17,2,5
136,17,8
136,3,9
136,7,9
332,0,9
332,11,7
332,16,9
84,6,10
84,7,5
84,15,6
585,2,5
585,13,8
585,15,10
394,16,9
394,9,6
394,1,8
142,0,10
142,19,10
142,15,9
485,15,9
485,17,8
485,10,7
451,2,5
451,7,5
451,17,9
586,6,6
586,15,8
586,7,8
76,11,7
76,9,8
76,16,9
109,12,10
109,14,9
109,8,9
29,7,9
29,11,5
29,15,10
39,2,10
39,14,8
39,13,6
499,3,7
499,8,10
499,18,5
239,4,10
239,10,10
239,11,5
422,17,7
422,8,8
422,0,9
353,1,7
353,18,7
353,8,7
309,6,7
309,2,8
309,17,9
316,19,8
316,12,9
316,5,8
489,1,10
489,17,7
489,0,10
408,19,10
408,8,8
408,11,5
153,16,7
153,12,8
153,14,8
596,9,7
596,0,10
596,4,9
310,15,9
310,19,8
310,17,8
151,3,10
151,6,5
151,9,7
530,5,8
530,17,8
530,19,7
312,12,9
312,14,5
312,16,7
584,0,10
584,12,10
584,4,5
375,4,10
375,6,9
375,15,7
384,9,8
384,13,10
384,10,6
141,16,8
141,4,9
141,5,10
542,5,6
542,14,8
542,19,6
583,11,7
583,13,8
583,9,6
599,7,7
599,11,10
599,5,9
391,4,7
391,6,6
391,13,7
114,7,10
114,12,5
114,1,6
182,4,10
182,15,5
182,0,5
130,4,7
130,3,7
130,15,6
131,14,5
131,6,7
131,7,8
60,14,6
60,17,5
60,19,6
333,9,7
333,0,9
545,11,8
545,2,6
166,7,10
166,3,10
490,19,6
490,7,10
497,16,7
497,15,8
433,2,6
433,3,7
99,11,5
99,15,9
93,8,5
93,6,5
306,11,9
306,15,7
369,5,9
369,16,10
71,4,5
71,14,8
16,3,6
16,17,8
553,11,5
553,18,8
351,9,8
351,15,6
326,4,9
326,3,9
168,18,9
168,17,6
0,18,7
1,3,6
2,12,8
3,14,7
4,19,9
5,2,10
6,17,6
7,1,10
8,7,6
9,3,8
10,7,6
11,3,6
12,19,7
13,11,6
14,19,6
15,19,6
18,3,7
19,7,10
20,16,6
21,7,5
22,10,7
23,0,7
24,13,10
25,13,5
26,8,8
27,7,8
28,11,8
30,11,8
31,15,8
32,8,10
33,17,10
34,15,8
35,2,9
36,17,5
37,1,8
38,14,9
40,9,10
41,10,5
42,0,6
43,9,7
44,15,9
45,12,5
46,1,9
47,10,7
48,1,5
49,14,8
50,15,9
51,1,10
52,6,7
53,0,8
55,4,6
56,5,8
57,3,9
58,16,5
61,6,7
