pid,did,pro_time
118,3,9
118,5,15
118,1,13
11,4,11
11,3,9
11,5,15
149,5,15
149,3,9
149,2,18
152,0,9
152,3,9
152,4,11
145,5,15
145,1,13
145,3,9
134,0,9
134,3,9
134,1,13
93,3,9
93,0,9
93,2,18
19,0,9
19,2,18
19,3,9
4,4,11
4,5,15
4,0,9
6,3,9
6,4,11
6,5,15
151,1,13
151,2,18
151,4,11
94,0,9
94,4,11
94,1,13
136,5,15
136,3,9
80,4,11
80,2,18
157,1,13
157,0,9
155,3,9
155,2,18
15,5,15
15,0,9
133,4,11
133,3,9
60,3,9
60,0,9
16,0,9
16,4,11
0,5,15
1,2,18
2,4,11
3,3,9
5,5,15
7,3,9
8,0,9
9,5,15
10,2,18
12,0,9
13,1,13
14,5,15
17,2,18
18,5,15
20,1,13
21,5,15
22,1,13
23,5,15
24,4,11
25,5,15
26,4,11
27,1,13
28,3,9
29,2,18
30,3,9
31,4,11
32,5,15
33,5,15
34,3,9
35,2,18
36,3,9
37,2,18
38,4,11
39,3,9
40,5,15
41,1,13
42,0,9
43,5,15
44,0,9
45,2,18
46,3,9
47,2,18
48,2,18
49,3,9
50,4,11
51,2,18
52,0,9
53,4,11
54,4,11
55,4,11
56,1,13
57,1,13
58,2,18
59,0,9
61,5,15
62,4,11
63,1,13
64,2,18
65,2,18
66,0,9
67,0,9
68,1,13
69,0,9
70,1,13
71,1,13
72,5,15
73,4,11
74,5,15
75,2,18
76,4,11
77,2,18
78,3,9
79,1,13
81,5,15
82,0,9
83,1,13
84,5,15
85,5,15
86,2,18
87,1,13
88,2,18
89,0,9
90,1,13
91,3,9
92,0,9
95,0,9
96,1,13
97,0,9
98,3,9
99,2,18
100,1,13
101,0,9
102,1,13
103,2,18
104,3,9
105,4,11
106,4,11
107,5,15
108,4,11
109,2,18
110,5,15
111,1,13
112,5,15
113,1,13
114,0,9
115,1,13
116,4,11
117,4,11
119,1,13
120,1,13
121,5,15
122,1,13
123,1,13
124,0,9
125,0,9
126,4,11
127,5,15
128,0,9
129,1,13
130,0,9
131,0,9
132,3,9
135,2,18
137,4,11
138,0,9
139,2,18
140,3,9
141,4,11
142,1,13
143,3,9
144,1,13
146,5,15
147,5,15
148,0,9
150,5,15
153,3,9
154,0,9
156,0,9
158,3,9
159,2,18
160,4,11
161,2,18
162,4,11
163,4,11
164,3,9
165,1,13
166,0,9
167,4,11
168,0,9
169,2,18
170,1,13
171,3,9
172,0,9
173,2,18
174,1,13
175,0,9
176,3,9
177,5,15
178,2,18
179,5,15
180,1,13
181,3,9
182,5,15
183,3,9
184,3,9
185,5,15
186,3,9
187,1,13
188,2,18
189,4,11
190,5,15
191,2,18
192,2,18
193,3,9
194,2,18
195,2,18
196,4,11
197,2,18
198,4,11
199,4,11
