pid,did,pro_time
67,1,12
67,4,18
67,2,13
69,0,12
69,1,12
69,4,18
193,4,18
193,0,12
193,5,9
161,3,10
161,0,12
161,2,13
65,2,13
65,0,12
65,4,18
88,1,12
88,4,18
88,2,13
128,1,12
128,3,10
128,2,13
119,1,12
119,0,12
119,2,13
181,0,12
181,2,13
181,5,9
117,2,13
117,3,10
117,5,9
169,4,18
169,1,12
169,2,13
146,0,12
146,2,13
146,4,18
93,4,18
93,2,13
0,1,12
0,4,18
160,2,13
160,3,10
18,1,12
18,2,13
58,1,12
58,0,12
103,5,9
103,0,12
4,5,9
4,0,12
197,0,12
197,3,10
1,2,13
2,4,18
3,3,10
5,5,9
6,4,18
7,3,10
8,0,12
9,5,9
10,2,13
11,4,18
12,0,12
13,1,12
14,5,9
15,3,10
16,0,12
17,2,13
19,1,12
20,1,12
21,5,9
22,1,12
23,5,9
24,4,18
25,5,9
26,4,18
27,1,12
28,3,10
29,2,13
30,3,10
31,4,18
32,5,9
33,5,9
34,3,10
35,2,13
36,3,10
37,2,13
38,4,18
39,3,10
40,5,9
41,1,12
42,0,12
43,5,9
44,0,12
45,2,13
46,3,10
47,2,13
48,2,13
49,3,10
50,4,18
51,2,13
52,0,12
53,4,18
54,4,18
55,4,18
56,1,12
57,1,12
59,0,12
60,0,12
61,5,9
62,4,18
63,1,12
64,2,13
66,0,12
68,1,12
70,1,12
71,1,12
72,5,9
73,4,18
74,5,9
75,2,13
76,4,18
77,2,13
78,3,10
79,1,12
80,0,12
81,5,9
82,0,12
83,1,12
84,5,9
85,5,9
86,2,13
87,1,12
89,0,12
90,1,12
91,3,10
92,0,12
94,5,9
95,0,12
96,1,12
97,0,12
98,3,10
99,2,13
100,1,12
101,0,12
102,1,12
104,3,10
105,4,18
106,4,18
107,5,9
108,4,18
109,2,13
110,5,9
111,1,12
112,5,9
113,1,12
114,0,12
115,1,12
116,4,18
118,2,13
120,1,12
121,5,9
122,1,12
123,1,12
124,0,12
125,0,12
126,4,18
127,5,9
129,1,12
130,0,12
131,0,12
132,3,10
133,2,13
134,1,12
135,2,13
136,4,18
137,4,18
138,0,12
139,2,13
140,3,10
141,4,18
142,1,12
143,3,10
144,1,12
145,0,12
147,5,9
148,0,12
149,0,12
150,5,9
151,4,18
152,5,9
153,3,10
154,0,12
155,3,10
156,0,12
157,1,12
158,4,18
159,2,13
162,0,12
163,2,13
164,5,9
165,3,10
166,2,13
167,2,13
168,2,13
170,3,10
171,5,9
172,5,9
173,4,18
174,4,18
175,3,10
176,5,9
177,5,9
178,2,13
179,3,10
180,5,9
182,5,9
183,5,9
184,4,18
185,5,9
186,3,10
187,3,10
188,4,18
189,3,10
190,4,18
191,3,10
192,4,18
194,3,10
195,3,10
196,3,10
198,3,10
199,3,10
