pid,did,pro_time
193,3,8
193,1,6
193,12,9
208,12,5
208,7,9
208,8,9
135,1,5
135,2,10
135,9,9
432,1,6
432,2,9
432,12,8
322,14,9
322,2,7
322,6,8
207,7,8
207,13,8
207,4,9
22,7,7
22,14,6
22,2,9
304,9,9
304,11,7
304,2,10
340,13,7
340,6,9
340,10,9
379,1,10
379,9,9
379,10,5
376,4,6
376,10,8
376,8,5
384,10,6
384,5,9
384,0,8
44,5,6
44,8,6
44,6,5
265,9,8
265,0,8
265,13,7
175,7,8
175,2,7
175,13,9
96,0,7
96,11,9
96,7,9
89,12,6
89,0,7
89,10,9
176,2,6
176,1,6
176,12,7
134,11,9
134,1,8
134,9,10
317,12,10
317,14,10
317,1,7
374,11,5
374,1,9
374,10,9
270,9,6
270,12,5
270,1,7
169,6,10
169,9,7
169,7,5
196,6,7
196,11,6
196,4,8
381,1,9
381,14,10
381,4,6
163,12,9
163,14,6
163,9,5
30,0,7
30,10,10
30,11,9
204,8,8
204,7,9
204,11,7
98,0,6
98,5,5
98,8,5
40,0,10
40,12,10
40,13,9
244,13,6
244,4,5
244,1,8
369,1,7
369,5,7
369,11,7
446,8,8
446,4,8
446,1,6
219,5,6
219,10,9
219,7,7
442,8,10
442,5,8
442,7,8
245,9,7
245,0,10
245,3,8
12,12,8
12,10,10
12,8,6
365,6,8
365,7,6
365,3,5
200,8,6
200,13,8
200,5,8
283,3,5
283,6,5
186,2,9
186,8,7
299,11,9
299,9,9
308,4,10
308,10,8
295,5,8
295,13,9
68,14,9
68,1,8
0,1,9
1,3,7
2,11,8
3,12,8
4,12,9
5,5,7
6,11,7
7,8,8
8,6,7
9,13,8
10,3,9
11,8,8
13,7,6
14,5,10
15,14,7
16,11,8
17,10,7
18,6,6
19,9,5
20,14,9
21,14,10
23,11,6
24,5,6
25,13,9
26,8,5
27,10,8
28,14,8
29,4,6
31,8,10
32,4,8
33,0,6
34,12,5
35,6,6
36,11,9
37,1,8
38,12,7
39,2,6
41,7,6
42,9,10
43,9,10
45,9,5
46,1,9
47,4,9
48,7,8
49,3,5
50,13,7
51,3,7
52,8,8
53,3,10
54,13,7
55,11,9
56,8,9
57,10,5
58,6,9
59,2,5
60,5,9
61,10,6
62,14,5
63,5,7
64,8,6
65,2,8
66,6,9
67,2,7
69,3,5
70,1,10
71,3,7
72,2,10
73,11,6
74,10,6
75,5,5
76,9,9
77,14,7
78,1,8
79,14,9
80,4,9
81,6,10
82,8,7
83,1,10
84,6,6
85,14,6
86,7,7
87,8,7
88,3,5
90,1,10
91,6,7
92,13,7
93,13,5
94,8,5
95,11,5
97,12,10
99,0,8
100,9,8
101,13,7
102,7,6
103,2,6
104,2,8
105,12,8
106,11,10
107,4,6
108,13,5
109,8,5
110,7,9
111,11,9
112,3,5
113,8,5
114,1,7
115,10,7
116,14,9
117,4,9
118,3,10
119,3,5
120,2,8
121,12,6
122,13,5
123,7,8
124,10,7
125,4,7
126,8,6
127,8,6
128,9,10
129,9,5
130,6,10
131,4,9
132,12,10
133,7,9
136,3,7
137,2,6
138,7,7
139,2,9
140,4,10
141,12,5
142,9,6
143,6,9
144,9,9
145,4,5
146,7,9
147,13,10
148,11,5
149,3,9
150,3,9
151,14,9
152,2,9
153,10,6
154,11,9
155,11,9
156,3,6
157,14,5
158,0,6
159,2,5
160,9,5
161,13,5
162,8,6
164,5,7
165,7,7
166,13,5
167,2,10
168,2,6
170,1,8
171,3,5
172,14,8
173,7,10
174,3,6
177,3,10
178,10,6
179,8,8
180,10,7
181,0,8
182,4,6
183,8,9
184,5,9
185,4,5
187,8,10
188,12,8
189,4,9
190,9,10
191,9,9
192,3,6
194,14,10
195,10,9
197,14,10
198,1,5
199,1,10
201,6,10
202,14,5
203,13,7
205,5,7
206,3,8
209,3,5
210,11,6
211,9,5
212,12,9
213,10,8
214,12,8
215,9,8
216,13,7
217,4,5
218,14,10
220,9,9
221,10,9
222,1,7
223,11,5
224,9,5
225,14,5
226,2,8
227,5,8
228,14,5
229,4,5
230,12,10
231,5,7
232,12,8
233,9,8
234,11,9
235,0,8
236,14,5
237,11,8
238,14,5
239,7,9
240,1,5
241,5,7
242,12,6
243,12,10
246,6,8
247,5,8
248,2,7
249,10,10
250,11,10
251,10,7
252,0,7
253,8,8
254,0,7
255,11,9
256,8,6
257,10,10
258,14,7
259,10,7
260,12,7
261,5,7
262,11,6
263,10,8
264,11,6
266,5,9
267,7,10
268,3,9
269,0,10
271,11,8
272,12,10
273,11,6
274,10,8
275,5,7
276,7,6
277,0,8
278,3,7
279,13,6
280,2,10
281,10,6
282,4,10
284,6,8
285,13,9
286,10,10
287,0,10
288,0,7
289,6,6
290,10,6
291,8,9
292,7,9
293,8,8
294,12,10
296,8,7
297,2,5
298,4,5
300,4,7
301,1,10
302,0,7
303,10,7
305,0,7
306,3,8
307,10,6
309,10,7
310,2,7
311,14,9
312,13,9
313,1,8
314,1,5
315,5,10
316,10,7
318,4,8
319,5,9
320,7,8
321,5,7
323,7,6
324,13,9
325,0,8
326,4,5
327,14,7
328,0,5
329,13,9
330,6,7
331,6,7
332,12,10
333,1,9
334,12,5
335,3,10
336,5,7
337,12,5
338,6,8
339,0,10
341,9,8
342,5,9
343,0,8
344,3,6
345,6,7
346,6,6
347,5,9
348,9,10
349,4,8
350,3,8
351,12,10
352,14,6
353,2,5
354,9,7
355,0,6
356,11,6
357,7,9
358,1,6
359,8,9
360,9,10
361,12,10
362,5,5
363,13,10
364,2,9
366,1,7
367,1,6
368,13,5
370,7,7
371,0,6
372,9,10
373,7,7
375,4,7
377,6,10
378,3,8
380,1,10
382,3,7
383,1,7
385,14,5
386,9,5
387,5,9
388,13,10
389,8,5
390,0,5
391,13,6
392,0,9
393,4,5
394,11,6
395,14,9
396,3,6
397,6,5
398,12,5
399,3,7
400,9,7
401,4,7
402,9,7
403,7,7
404,0,8
405,3,9
406,13,10
407,8,10
408,5,7
409,4,9
410,14,8
411,2,8
412,0,7
413,6,10
414,0,8
415,11,7
416,0,8
417,0,5
418,5,10
419,5,9
420,7,7
421,11,7
422,7,9
423,2,8
424,14,8
425,7,9
426,12,7
427,13,10
428,14,6
429,7,9
430,4,9
431,0,10
433,5,8
434,6,10
435,13,10
436,14,5
437,0,5
438,13,9
439,6,9
440,4,5
441,13,9
443,6,7
444,6,8
445,6,8
447,6,7
448,4,9
449,6,8
