pid,did,pro_time
24,4,6
24,1,8
24,0,6
125,0,10
125,1,5
125,4,10
29,2,10
29,4,6
29,1,5
83,4,5
83,1,8
83,0,6
15,2,7
15,3,5
15,4,9
86,1,6
86,2,10
86,3,6
44,0,10
44,2,9
44,1,6
67,0,6
67,4,9
67,2,8
75,2,10
75,3,9
75,1,8
14,1,8
14,2,9
14,4,8
31,1,10
31,4,9
31,0,9
35,2,5
35,4,10
35,0,9
112,1,7
112,2,7
112,0,9
45,1,10
45,4,7
45,0,5
120,1,6
120,4,8
0,2,9
1,2,5
2,2,6
3,3,9
4,0,7
5,4,9
6,3,5
7,0,8
8,4,6
9,3,9
10,2,9
11,2,10
12,0,9
13,1,9
16,0,10
17,4,9
18,4,9
19,1,6
20,1,6
21,4,9
22,1,7
23,4,10
25,0,10
26,4,5
27,2,7
28,2,6
30,3,10
32,4,6
33,1,5
34,0,5
36,3,9
37,2,9
38,0,8
39,2,5
40,2,10
41,1,10
42,1,6
43,3,8
46,3,8
47,2,10
48,2,8
49,4,6
50,3,6
51,2,10
52,0,7
53,0,9
54,4,7
55,4,5
56,1,10
57,1,10
58,2,5
59,3,10
60,0,9
61,1,6
62,3,10
63,1,6
64,1,5
65,2,10
66,3,8
68,1,7
69,0,8
70,4,6
71,4,7
72,1,10
73,1,8
74,2,6
76,4,7
77,2,5
78,3,5
79,1,10
80,1,10
81,4,6
82,0,6
84,4,5
85,4,5
87,1,10
88,2,6
89,4,5
90,0,6
91,1,10
92,0,5
93,2,10
94,4,9
95,4,6
96,1,10
97,0,8
98,3,9
99,2,5
100,1,9
101,0,8
102,1,6
103,2,5
104,3,10
105,4,8
106,0,5
107,3,8
108,0,10
109,2,5
110,4,9
111,1,10
113,1,8
114,2,8
115,4,8
116,4,5
117,2,9
118,4,10
119,2,10
121,0,10
122,2,10
123,0,7
124,2,8
126,3,7
127,0,7
128,3,7
129,0,8
130,0,6
131,0,9
132,0,6
133,0,10
134,0,8
135,3,8
136,3,9
137,3,8
138,3,5
139,3,7
140,3,5
141,3,10
142,3,9
143,3,5
144,3,5
145,3,5
146,3,9
147,3,6
148,3,10
149,3,8
