pid,did,pro_time
293,8,5
293,3,8
293,1,10
272,12,10
272,1,9
272,4,10
10,3,7
10,7,5
10,12,9
444,11,10
444,10,9
444,2,5
381,1,5
381,14,9
381,4,10
371,0,6
371,4,5
371,5,8
265,9,10
265,0,10
265,13,7
204,8,6
204,7,8
204,11,9
36,11,8
36,12,5
36,13,5
150,3,10
150,13,6
150,1,7
50,13,7
50,12,5
50,10,8
29,4,8
29,7,8
29,6,6
167,2,7
167,14,5
167,4,7
146,7,8
146,3,9
146,8,9
356,11,9
356,10,6
356,13,6
114,1,5
114,7,7
114,14,7
57,10,5
57,12,7
57,4,10
260,12,6
260,7,7
260,3,7
414,9,9
414,10,6
414,0,9
178,10,8
178,0,7
178,14,5
275,5,6
275,13,5
275,12,7
368,11,5
368,4,5
368,12,6
92,13,6
92,9,5
92,11,8
94,8,5
94,4,7
94,7,8
436,4,8
436,5,7
436,9,8
353,14,7
353,2,5
353,8,7
234,11,8
234,14,7
234,13,9
273,11,5
273,5,10
273,13,7
285,13,9
285,5,10
285,4,7
358,1,10
358,2,7
358,0,8
9,13,6
9,7,7
9,10,8
379,1,9
379,9,6
379,10,9
128,9,6
128,8,5
128,6,10
276,7,5
276,6,9
276,8,7
162,8,6
162,7,10
162,9,10
116,14,10
116,9,10
116,7,6
243,12,7
243,0,5
243,8,5
430,8,5
430,0,10
430,10,5
280,2,6
280,10,5
280,3,8
421,13,10
421,8,5
421,2,7
237,11,6
237,7,8
307,10,6
307,6,8
190,9,8
190,2,9
182,4,10
182,7,9
127,8,5
127,5,8
0,1,5
1,3,7
2,11,8
3,12,8
4,12,6
5,5,5
6,11,6
7,8,10
8,6,9
11,8,7
12,12,10
13,7,6
14,5,5
15,14,5
16,11,8
17,10,5
18,6,5
19,9,8
20,14,9
21,14,5
22,7,9
23,11,6
24,5,5
25,13,8
26,8,10
27,10,9
28,14,9
30,0,5
31,8,5
32,4,8
33,0,9
34,12,5
35,6,7
37,1,9
38,12,9
39,2,8
40,0,8
41,7,9
42,9,10
43,9,5
44,5,6
45,9,8
46,1,10
47,4,6
48,7,9
49,3,5
51,3,5
52,8,7
53,3,7
54,13,7
55,11,5
56,8,5
58,6,5
59,2,6
60,5,5
61,10,10
62,14,6
63,5,10
64,8,6
65,2,6
66,6,7
67,2,9
68,14,10
69,3,9
70,1,5
71,3,5
72,2,7
73,11,9
74,10,5
75,5,9
76,9,8
77,14,5
78,1,6
79,14,9
80,4,7
81,6,7
82,8,8
83,1,8
84,6,8
85,14,10
86,7,10
87,8,8
88,3,7
89,12,7
90,1,5
91,6,7
93,13,7
95,11,9
96,0,10
97,12,10
98,0,7
99,0,6
100,9,9
101,13,7
102,7,9
103,2,9
104,2,9
105,12,6
106,11,6
107,4,10
108,13,6
109,8,10
110,7,5
111,11,9
112,3,5
113,8,6
115,10,7
117,4,9
118,3,5
119,3,5
120,2,9
121,12,5
122,13,10
123,7,8
124,10,5
125,4,10
126,8,7
129,9,8
130,6,8
131,4,9
132,12,5
133,7,5
134,11,6
135,1,9
136,3,5
137,2,8
138,7,7
139,2,10
140,4,5
141,12,10
142,9,6
143,6,5
144,9,5
145,4,8
147,13,7
148,11,6
149,3,6
151,14,7
152,2,8
153,10,8
154,11,5
155,11,10
156,3,5
157,14,7
158,0,5
159,2,9
160,9,6
161,13,6
163,12,8
164,5,9
165,7,6
166,13,7
168,2,7
169,6,7
170,1,9
171,3,9
172,14,10
173,7,8
174,3,10
175,7,7
176,2,7
177,3,10
179,8,10
180,10,8
